Items Report
"Aug 19, 2024 12:00 AM - Aug 19, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:53 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$1,190.70"
Net Sales,"$1,187.61"
COGS,$0.00
Gross Profit,"$1,187.61"
Gross Profit Margin,100%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Latte,$165.50,$164.64,36,0," "," ",-,-$0.86,$0.00,13.86%,$4.57,$0.00,$164.64
,," "," "," "," ",Oat - Avoine,7,$3.50," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,28,$0.00," "," "," "," "," "," "
,," "," "," "," ",Nemesis,4,$4.00," "," "," "," "," "," "
,," "," "," "," ",Maison,29,$0.00," "," "," "," "," "," "
,," "," "," "," ",Xtra House Espresso,1,$1.50," "," "," "," "," "," "
,," "," "," "," ",Decaf,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,22,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,14,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$54.90,$53.82,10,0," "," ",-,-$1.08,$0.00,4.53%,$5.38,$0.00,$53.82
,," "," "," "," ",Hot - Chaud,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Jorge Rojas,6,$32.40," "," "," "," "," "," "
,," "," "," "," ",Nemesis,3,$17.70," "," "," "," "," "," "
,," "," "," "," ",Subtext Rodriguez,1,$4.80," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,4,$0.00," "," "," "," "," "," "
,Cappuccino,$49.30,$49.30,11,0," "," ",-,$0.00,$0.00,4.15%,$4.48,$0.00,$49.30
,," "," "," "," ",Regular milk - Lait régulier,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Nemesis,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Flat White,$42.50,$42.50,10,0," "," ",-,$0.00,$0.00,3.58%,$4.25,$0.00,$42.50
,," "," "," "," ",Oat - Avoine,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,8,$0.00," "," "," "," "," "," "
