Items Report
"Dec 29, 2023 12:00 AM - Dec 29, 2023 11:59 PM"
"Requested on: Dec 11, 2024 1:17 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$1,056.20"
Net Sales,"$1,055.27"
COGS,$0.00
Gross Profit,"$1,052.97"
Gross Profit Margin,99.78%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,Dejeuner Sandwich,$127.50,$127.50,15,0," "," ",-,$0.00,$0.00,12.08%,$8.50,$0.00,$127.50
,Toast Avocat,$104.00,$104.00,8,0," "," ",-,$0.00,$0.00,9.86%,$13.00,$0.00,$104.00
,," "," "," "," ",Dine In,8,$0.00," "," "," "," "," "," "
,Salmon Sandwich,$52.00,$52.00,4,0," "," ",-,$0.00,$0.00,4.93%,$13.00,$0.00,$52.00
,Bostock,$36.00,$36.00,3,0," "," ",-,$0.00,$0.00,3.41%,$12.00,$0.00,$36.00
,Basha Bekele Espresso,$27.50,$27.50,1,0," "," ",-,$0.00,$0.00,2.61%,$27.50,$0.00,$27.50
,Lavande Latte,$19.80,$19.80,4,0," "," ",-,$0.00,$0.00,1.88%,$4.95,$0.00,$19.80
,," "," "," "," ",Only Oat - Avoine seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Brownie,$18.00,$18.00,4,0," "," ",-,$0.00,$0.00,1.71%,$4.50,$0.00,$18.00
,Biscuit Noel,$15.00,$15.00,6,0," "," ",-,$0.00,$0.00,1.42%,$2.50,$0.00,$15.00
,Kayana,$14.00,$14.00,1,0," "," ",-,$0.00,$0.00,1.33%,$14.00,$0.00,$14.00
,Gâteau au citron,$13.20,$13.20,4,0," "," ",-,$0.00,$0.00,1.25%,$3.30,$0.00,$13.20
,Sandwich Saucisse,$12.50,$12.50,1,0," "," ",-,$0.00,$0.00,1.18%,$12.50,$0.00,$12.50
,Chia Pudding,$9.00,$9.00,1,0," "," ",-,$0.00,$0.00,0.85%,$9.00,$0.00,$9.00
,Pain D'épices,$7.00,$7.00,2,0," "," ",-,$0.00,$0.00,0.66%,$3.50,$0.00,$7.00
,Flash Brew - Cold Filter,$4.00,$4.00,1,0," "," ",-,$0.00,$0.00,0.38%,$4.00,$0.00,$4.00
,," "," "," "," ",Sans sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ndiara,1,$4.00," "," "," "," "," "," "
,Article personnalisé,$2.30,$2.30,1,0," "," ",-,$0.00,$0.00,0.22%,$2.30,-,-
Total (Uncategorized),,$461.80,$461.80,56,0,-,28,$4.20,$0.00,$0.00,43.76%,$8.25,$0.00,$459.50

Coffee Hot - Café Chaud
,Latte,$110.10,$110.10,23,0," "," ",-,$0.00,$0.00,10.43%,$4.79,$0.00,$110.10
,," "," "," "," ",Oat - Avoine,7,$3.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,16,$0.00," "," "," "," "," "," "
,," "," "," "," ",Litchi,7,$6.30," "," "," "," "," "," "
,," "," "," "," ",Maison,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,3,$0.90," "," "," "," "," "," "
,," "," "," "," ",Dine In,16,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,1,$0.50," "," "," "," "," "," "
,Cappuccino,$65.30,$65.30,14,0," "," ",-,$0.00,$0.00,6.19%,$4.66,$0.00,$65.30
,," "," "," "," ",Oat - Avoine,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Skim Milk - Lait écrémé,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Litchi,4,$3.60," "," "," "," "," "," "
,," "," "," "," ",Maison,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
