Items Report
"Feb 11, 2024 12:00 AM - Feb 11, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:24 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$1,038.85"
Net Sales,"$1,035.09"
COGS,$0.00
Gross Profit,"$1,033.59"
Gross Profit Margin,99.86%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Latte,$131.20,$131.20,28,0," "," ",-,$0.00,$0.00,12.68%,$4.69,$0.00,$131.20
,," "," "," "," ",Oat - Avoine,7,$3.50," "," "," "," "," "," "
,," "," "," "," ",Macadamia,2,$1.40," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,19,$0.00," "," "," "," "," "," "
,," "," "," "," ",Lost &found,5,$4.50," "," "," "," "," "," "
,," "," "," "," ",Maison,20,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,3,$0.90," "," "," "," "," "," "
,," "," "," "," ",Dine In,25,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,1,$0.50," "," "," "," "," "," "
,Cappuccino,$51.90,$51.90,11,0," "," ",-,$0.00,$0.00,5.01%,$4.72,$0.00,$51.90
,," "," "," "," ",Almond - Amande,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Macadamia,2,$1.40," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Lost &found,3,$2.70," "," "," "," "," "," "
,," "," "," "," ",Maison,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Americano,$28.50,$28.50,8,0," "," ",-,$0.00,$0.00,2.75%,$3.56,$0.00,$28.50
,," "," "," "," ",Lost &found,1,$0.90," "," "," "," "," "," "
,," "," "," "," ",Maison,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Long Black,$28.10,$28.10,8,0," "," ",-,$0.00,$0.00,2.71%,$3.51,$0.00,$28.10
,," "," "," "," ",Lost &found,1,$0.90," "," "," "," "," "," "
,," "," "," "," ",Maison,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,4,$0.00," "," "," "," "," "," "
,Flat White,$28.00,$28.00,6,0," "," ",-,$0.00,$0.00,2.71%,$4.67,$0.00,$28.00
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Lost &found,3,$2.70," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.30," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$27.00,$27.00,6,0," "," ",-,$0.00,$0.00,2.61%,$4.50,$0.00,$27.00
,," "," "," "," ",LF,2,$9.00," "," "," "," "," "," "
,," "," "," "," ",Litchi,2,$10.00," "," "," "," "," "," "
,," "," "," "," ",Wilfredo,2,$8.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Espresso,$22.50,$22.50,6,0," "," ",-,$0.00,$0.00,2.17%,$3.75,$0.00,$22.50
,," "," "," "," ",Lost &found,3,$2.70," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,Cortado,$21.05,$21.05,5,0," "," ",-,$0.00,$0.00,2.03%,$4.21,$0.00,$21.05
,," "," "," "," ",Regular milk - Lait régulier,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Lost &found,2,$1.80," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Mocha,$15.00,$15.00,3,0," "," ",-,$0.00,$0.00,1.45%,$5.00,$0.00,$15.00
,," "," "," "," ",Regular milk - Lait régulier,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
Total (Coffee Hot - Café Chaud),,$353.25,$353.25,81,0,-,224,$52.70,$0.00,$0.00,34.13%,$4.36,$0.00,$353.25

Uncategorized
,Dejeuner Sandwich,$68.00,$68.00,8,0," "," ",-,$0.00,$0.00,6.57%,$8.50,$0.00,$68.00
,Toast Avocat,$65.00,$65.00,5,0," "," ",-,$0.00,$0.00,6.28%,$13.00,$0.00,$65.00
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,Chia Pudding,$36.00,$36.00,4,0," "," ",-,$0.00,$0.00,3.48%,$9.00,$0.00,$36.00
,Matcha Biscuit,$33.25,$32.30,7,0," "," ",-,-$0.95,$0.00,3.12%,$4.61,$0.00,$32.30
,Colorfull,$28.00,$28.00,1,0," "," ",-,$0.00,$0.00,2.71%,$28.00,$0.00,$28.00
,Salmon Sandwich,$26.00,$26.00,2,0," "," ",-,$0.00,$0.00,2.51%,$13.00,$0.00,$26.00
,Bostock,$24.00,$24.00,2,0," "," ",-,$0.00,$0.00,2.32%,$12.00,$0.00,$24.00
,Kayana,$14.00,$14.00,1,0," "," ",-,$0.00,$0.00,1.35%,$14.00,$0.00,$14.00
,Sandwich Saucisse,$12.50,$12.50,1,0," "," ",-,$0.00,$0.00,1.21%,$12.50,$0.00,$12.50
,Bisuit Orange,$8.75,$8.75,5,0," "," ",-,$0.00,$0.00,0.85%,$1.75,$0.00,$8.75
,Lavande Latte,$4.90,$4.90,1,0," "," ",-,$0.00,$0.00,0.47%,$4.90,$0.00,$4.90
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",1/2 sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,Gateau Noisette,$3.50,$3.50,1,0," "," ",-,$0.00,$0.00,0.34%,$3.50,$0.00,$3.50
,Gâteau au citron,$3.30,$3.30,1,0," "," ",-,$0.00,$0.00,0.32%,$3.30,$0.00,$3.30
,Article personnalisé,$1.00,$1.00,1,0," "," ",-,$0.00,$0.00,0.10%,$1.00,-,-
,Article personnalisé,$0.50,$0.50,1,0," "," ",-,$0.00,$0.00,0.05%,$0.50,-,-
Total (Uncategorized),,$328.70,$327.75,41,0,-,9,$0.00,-$0.95,$0.00,31.66%,$7.99,$0.00,$326.25

Sans Café - Without Coffee
,Matcha Latte,$69.25,$69.25,13,0," "," ",-,$0.00,$0.00,6.69%,$5.33,$0.00,$69.25
,," "," "," "," ",Only Coconut - Noix de coco seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Oat - Avoine seulement,4,$0.80," "," "," "," "," "," "
,," "," "," "," ",Only Almond - Amande seulement,3,$0.60," "," "," "," "," "," "
,," "," "," "," ",Only Macadamia - Macadamia seulement,1,$0.35," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",1/2 sucre,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Chocolat Blanc,3,$3.60," "," "," "," "," "," "
,Hot Chocolate - Chocolat Chaud,$47.65,$45.69,10,0," "," ",-,-$1.96,$0.00,4.41%,$4.57,$0.00,$45.69
,," "," "," "," ",Almond - Amande,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",White Chocolate,1,$0.45," "," "," "," "," "," "
,Chai Latte,$39.80,$39.80,8,0," "," ",-,$0.00,$0.00,3.85%,$4.98,$0.00,$39.80
,," "," "," "," ",Only Oat - Avoine seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Almond - Amande seulement,2,$0.40," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",1/2 sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",1 sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,London Fog,$20.40,$20.40,4,0," "," ",-,$0.00,$0.00,1.97%,$5.10,$0.00,$20.40
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,Thé de montagne,$17.50,$17.50,5,0," "," ",-,$0.00,$0.00,1.69%,$3.50,$0.00,$17.50
,," "," "," "," ",Sans sucre,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,Earl Grey,$4.10,$4.10,1,0," "," ",-,$0.00,$0.00,0.40%,$4.10,$0.00,$4.10
Total (Sans Café - Without Coffee),,$198.70,$196.74,41,0,-,117,$8.30,-$1.96,$0.00,19.01%,$4.80,$0.00,$196.74

Desserts
,Cinnamon bun,$80.75,$79.90,19,0," "," ",-,-$0.85,$0.00,7.72%,$4.21,$0.00,$79.90
,," "," "," "," ",Dine In,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,6,$0.00," "," "," "," "," "," "
,Biscuit,$46.75,$46.75,11,0," "," ",-,$0.00,$0.00,4.52%,$4.25,$0.00,$46.75
,Muffin,$13.00,$13.00,4,0," "," ",-,$0.00,$0.00,1.26%,$3.25,$0.00,$13.00
Total (Desserts),,$140.50,$139.65,34,0,-,19,$0.00,-$0.85,$0.00,13.49%,$4.11,$0.00,$139.65

Coffee Cold - Café Froid
,Freddo Latte,$8.80,$8.80,2,0," "," ",-,$0.00,$0.00,0.85%,$4.40,$0.00,$8.80
,," "," "," "," ",Regular milk - Lait régulier,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",3 sucres,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Freddo Cappuccino,$4.70,$4.70,1,0," "," ",-,$0.00,$0.00,0.45%,$4.70,$0.00,$4.70
,," "," "," "," ",Decaf,1,$0.30," "," "," "," "," "," "
,," "," "," "," ",3 sucres,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Freddo Espresso,$4.20,$4.20,1,0," "," ",-,$0.00,$0.00,0.41%,$4.20,$0.00,$4.20
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
Total (Coffee Cold - Café Froid),,$17.70,$17.70,4,0,-,14,$0.30,$0.00,$0.00,1.71%,$4.43,$0.00,$17.70

TOTAL,,"$1,038.85","$1,035.09",201,0,-," ",$61.30,-$3.76,$0.00,100.00%,$5.15,$0.00,"$1,033.59"
