Items Report
"Feb 21, 2024 12:00 AM - Feb 21, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:25 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,$661.50
Net Sales,$661.02
COGS,$0.00
Gross Profit,$661.02
Gross Profit Margin,100%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Latte,$145.40,$144.92,31,0," "," ",-,-$0.48,$0.00,21.92%,$4.67,$0.00,$144.92
,," "," "," "," ",Oat - Avoine,8,$4.00," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,4,$2.00," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,18,$0.00," "," "," "," "," "," "
,," "," "," "," ",Proud Mary,6,$5.40," "," "," "," "," "," "
,," "," "," "," ",Maison,25,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,24,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,7,$0.00," "," "," "," "," "," "
,Cappuccino,$57.20,$57.20,12,0," "," ",-,$0.00,$0.00,8.65%,$4.77,$0.00,$57.20
,," "," "," "," ",Oat - Avoine,4,$2.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Proud Mary,4,$3.60," "," "," "," "," "," "
,," "," "," "," ",Maison,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Flat White,$38.80,$38.80,9,0," "," ",-,$0.00,$0.00,5.87%,$4.31,$0.00,$38.80
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Proud Mary,2,$1.80," "," "," "," "," "," "
,," "," "," "," ",Maison,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$22.00,$22.00,4,0," "," ",-,$0.00,$0.00,3.33%,$5.50,$0.00,$22.00
,," "," "," "," ",Litchi,2,$10.00," "," "," "," "," "," "
,," "," "," "," ",Medina,2,$12.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Americano,$17.75,$17.75,5,0," "," ",-,$0.00,$0.00,2.69%,$3.55,$0.00,$17.75
,," "," "," "," ",Maison,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Avoine,1,$0.50," "," "," "," "," "," "
