Items Report
"Feb 6, 2024 12:00 AM - Feb 6, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:24 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,$670.85
Net Sales,$670.37
COGS,$0.00
Gross Profit,$648.37
Gross Profit Margin,96.72%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Latte,$107.70,$107.70,23,0," "," ",-,$0.00,$0.00,16.07%,$4.68,$0.00,$107.70
,," "," "," "," ",Oat - Avoine,7,$3.50," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Lost &found,2,$1.80," "," "," "," "," "," "
,," "," "," "," ",Maison,19,$0.00," "," "," "," "," "," "
,," "," "," "," ",Xtra House Espresso,1,$1.50," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.30," "," "," "," "," "," "
,," "," "," "," ",Dine In,14,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,9,$0.00," "," "," "," "," "," "
,Cappuccino,$64.70,$64.22,14,0," "," ",-,-$0.48,$0.00,9.58%,$4.59,$0.00,$64.22
,," "," "," "," ",Oat - Avoine,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Lost &found,3,$2.70," "," "," "," "," "," "
,," "," "," "," ",Maison,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.30," "," "," "," "," "," "
,," "," "," "," ",Dine In,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Flat White,$42.60,$42.60,10,0," "," ",-,$0.00,$0.00,6.35%,$4.26,$0.00,$42.60
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Lost &found,1,$0.90," "," "," "," "," "," "
,," "," "," "," ",Maison,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Americano,$28.35,$28.35,7,0," "," ",-,$0.00,$0.00,4.23%,$4.05,$0.00,$28.35
,," "," "," "," ",Lost &found,3,$2.70," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Xtra House Espresso,1,$1.50," "," "," "," "," "," "
,," "," "," "," ",Lait Ordinaire,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Cortado,$25.90,$25.90,6,0," "," ",-,$0.00,$0.00,3.86%,$4.32,$0.00,$25.90
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Lost &found,2,$1.80," "," "," "," "," "," "
,," "," "," "," ",Maison,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$18.00,$18.00,4,0," "," ",-,$0.00,$0.00,2.69%,$4.50,$0.00,$18.00
,," "," "," "," ",LF,2,$9.00," "," "," "," "," "," "
,," "," "," "," ",Litchi,1,$5.00," "," "," "," "," "," "
,," "," "," "," ",Wilfredo,1,$4.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,Espresso,$12.60,$12.60,3,0," "," ",-,$0.00,$0.00,1.88%,$4.20,$0.00,$12.60
,," "," "," "," ",Lost &found,3,$2.70," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,Long Black,$7.70,$7.70,2,0," "," ",-,$0.00,$0.00,1.15%,$3.85,$0.00,$7.70
,," "," "," "," ",Lost &found,1,$0.90," "," "," "," "," "," "
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Mocha,$6.40,$6.40,1,0," "," ",-,$0.00,$0.00,0.95%,$6.40,$0.00,$6.40
,," "," "," "," ",Oat - Avoine,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Lost &found,1,$0.90," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
Total (Coffee Hot - Café Chaud),,$313.95,$313.47,70,0,-,201,$45.90,-$0.48,$0.00,46.76%,$4.48,$0.00,$313.47

Uncategorized
,Dejeuner Sandwich,$42.50,$42.50,5,0," "," ",-,$0.00,$0.00,6.34%,$8.50,$0.00,$42.50
,Salmon Sandwich,$26.00,$26.00,2,0," "," ",-,$0.00,$0.00,3.88%,$13.00,$0.00,$26.00
,Article personnalisé,$22.00,$22.00,1,0," "," ",-,$0.00,$0.00,3.28%,$22.00,-,-
,Matcha Biscuit,$19.00,$19.00,4,0," "," ",-,$0.00,$0.00,2.83%,$4.75,$0.00,$19.00
,Toast Avocat,$13.00,$13.00,1,0," "," ",-,$0.00,$0.00,1.94%,$13.00,$0.00,$13.00
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,Sandwich Saucisse,$12.50,$12.50,1,0," "," ",-,$0.00,$0.00,1.86%,$12.50,$0.00,$12.50
,Chia Pudding,$9.00,$9.00,1,0," "," ",-,$0.00,$0.00,1.34%,$9.00,$0.00,$9.00
,Gateau Noisette,$7.00,$7.00,2,0," "," ",-,$0.00,$0.00,1.04%,$3.50,$0.00,$7.00
,Gâteau au citron,$6.60,$6.60,2,0," "," ",-,$0.00,$0.00,0.98%,$3.30,$0.00,$6.60
,Bisuit Orange,$3.50,$3.50,2,0," "," ",-,$0.00,$0.00,0.52%,$1.75,$0.00,$3.50
Total (Uncategorized),,$161.10,$161.10,21,0,-,1,$0.00,$0.00,$0.00,24.03%,$7.67,$0.00,$139.10

Sans Café - Without Coffee
,Matcha Latte,$44.70,$44.70,9,0," "," ",-,$0.00,$0.00,6.67%,$4.97,$0.00,$44.70
,," "," "," "," ",Only Oat - Avoine seulement,2,$0.40," "," "," "," "," "," "
,," "," "," "," ",Only Almond - Amande seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",1/2 sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,9,$0.00," "," "," "," "," "," "
,Hot Chocolate - Chocolat Chaud,$23.25,$23.25,5,0," "," ",-,$0.00,$0.00,3.47%,$4.65,$0.00,$23.25
,," "," "," "," ",Oat - Avoine,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,London Fog,$20.40,$20.40,4,0," "," ",-,$0.00,$0.00,3.04%,$5.10,$0.00,$20.40
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Thé de montagne,$7.00,$7.00,2,0," "," ",-,$0.00,$0.00,1.04%,$3.50,$0.00,$7.00
,," "," "," "," ",Sans sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,Chai Latte,$4.90,$4.90,1,0," "," ",-,$0.00,$0.00,0.73%,$4.90,$0.00,$4.90
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,Earl Grey,$4.10,$4.10,1,0," "," ",-,$0.00,$0.00,0.61%,$4.10,$0.00,$4.10
Total (Sans Café - Without Coffee),,$104.35,$104.35,22,0,-,61,$1.10,$0.00,$0.00,15.57%,$4.74,$0.00,$104.35

Desserts
,Cinnamon bun,$34.00,$34.00,8,0," "," ",-,$0.00,$0.00,5.07%,$4.25,$0.00,$34.00
,," "," "," "," ",Dine In,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Biscuit,$29.75,$29.75,7,0," "," ",-,$0.00,$0.00,4.44%,$4.25,$0.00,$29.75
Total (Desserts),,$63.75,$63.75,15,0,-,8,$0.00,$0.00,$0.00,9.51%,$4.25,$0.00,$63.75

Coffee Cold - Café Froid
,Freddo Latte,$27.70,$27.70,6,0," "," ",-,$0.00,$0.00,4.13%,$4.62,$0.00,$27.70
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.30," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",1/2 sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",1 sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
Total (Coffee Cold - Café Froid),,$27.70,$27.70,6,0,-,24,$1.30,$0.00,$0.00,4.13%,$4.62,$0.00,$27.70

TOTAL,,$670.85,$670.37,134,0,-," ",$48.30,-$0.48,$0.00,100%,$5.00,$0.00,$648.37
