Items Report
"Jan 11, 2024 12:00 AM - Jan 11, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:19 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,$697.35
Net Sales,$696.92
COGS,$0.00
Gross Profit,$696.42
Gross Profit Margin,99.93%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Latte,$79.10,$78.67,17,0," "," ",-,-$0.43,$0.00,11.29%,$4.63,$0.00,$78.67
,," "," "," "," ",Oat - Avoine,4,$2.00," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Basha,3,$2.70," "," "," "," "," "," "
,," "," "," "," ",Maison,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.30," "," "," "," "," "," "
,," "," "," "," ",Dine In,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,4,$0.00," "," "," "," "," "," "
,Cappuccino,$54.80,$54.80,11,0," "," ",-,$0.00,$0.00,7.86%,$4.98,$0.00,$54.80
,," "," "," "," ",Oat - Avoine,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Basha,5,$4.50," "," "," "," "," "," "
,," "," "," "," ",Maison,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Xtra House Espresso,1,$1.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$49.50,$49.50,11,0," "," ",-,$0.00,$0.00,7.10%,$4.50,$0.00,$49.50
,," "," "," "," ",Litchi,3,$15.00," "," "," "," "," "," "
,," "," "," "," ",Robinson Rivera Traffic,7,$28.00," "," "," "," "," "," "
,," "," "," "," ",September Geisha Gomez,1,$6.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Flat White,$37.50,$37.50,8,0," "," ",-,$0.00,$0.00,5.38%,$4.69,$0.00,$37.50
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
