Items Report
"Jan 20, 2024 12:00 AM - Jan 20, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:20 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$1,190.45"
Net Sales,"$1,188.24"
COGS,$0.00
Gross Profit,"$1,090.69"
Gross Profit Margin,91.79%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,Article personnalisé,$97.00,$97.00,1,0," "," ",-,$0.00,$0.00,8.16%,$97.00,-,-
,Colorfull,$84.00,$84.00,3,0," "," ",-,$0.00,$0.00,7.07%,$28.00,$0.00,$84.00
,Toast Avocat,$52.00,$52.00,4,0," "," ",-,$0.00,$0.00,4.38%,$13.00,$0.00,$52.00
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,Dejeuner Sandwich,$42.50,$40.80,5,0," "," ",-,-$1.70,$0.00,3.43%,$8.16,$0.00,$40.80
,Tropical Onyx,$34.00,$34.00,1,0," "," ",-,$0.00,$0.00,2.86%,$34.00,$0.00,$34.00
,Kayana,$28.00,$28.00,2,0," "," ",-,$0.00,$0.00,2.36%,$14.00,$0.00,$28.00
,Gâteau au citron,$26.40,$26.40,8,0," "," ",-,$0.00,$0.00,2.22%,$3.30,$0.00,$26.40
,Salmon Sandwich,$26.00,$26.00,2,0," "," ",-,$0.00,$0.00,2.19%,$13.00,$0.00,$26.00
,Chia Pudding,$18.00,$18.00,2,0," "," ",-,$0.00,$0.00,1.51%,$9.00,$0.00,$18.00
,Pain D'épices,$17.50,$17.50,5,0," "," ",-,$0.00,$0.00,1.47%,$3.50,$0.00,$17.50
,Sandwich Saucisse,$12.50,$12.50,1,0," "," ",-,$0.00,$0.00,1.05%,$12.50,$0.00,$12.50
,Lavande Latte,$10.20,$10.20,2,0," "," ",-,$0.00,$0.00,0.86%,$5.10,$0.00,$10.20
,," "," "," "," ",Only Coconut - Noix de coco seulement,2,$0.40," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,Biscuit Noel,$7.50,$7.50,3,0," "," ",-,$0.00,$0.00,0.63%,$2.50,$0.00,$7.50
,Brownie,$4.50,$4.50,1,0," "," ",-,$0.00,$0.00,0.38%,$4.50,$0.00,$4.50
,Article personnalisé,$0.30,$0.30,1,0," "," ",-,$0.00,$0.00,0.03%,$0.30,-,-
,Article personnalisé,$0.25,$0.25,1,0," "," ",-,$0.00,$0.00,0.02%,$0.25,-,-
Total (Uncategorized),,$460.65,$458.95,42,0,-,12,$0.40,-$1.70,$0.00,38.62%,$10.93,$0.00,$361.40

Coffee Hot - Café Chaud
,Latte,$158.30,$158.30,33,0," "," ",-,$0.00,$0.00,13.32%,$4.80,$0.00,$158.30
,," "," "," "," ",Oat - Avoine,8,$4.00," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Coconut - Noix de coco,1,$0.60," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Lactose free - Sans lactose,2,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,19,$0.00," "," "," "," "," "," "
,," "," "," "," ",Onyx,8,$7.20," "," "," "," "," "," "
,," "," "," "," ",Maison,21,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,4,$1.20," "," "," "," "," "," "
,," "," "," "," ",Dine In,25,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,2,$1.00," "," "," "," "," "," "
,Cappuccino,$67.50,$67.50,15,0," "," ",-,$0.00,$0.00,5.68%,$4.50,$0.00,$67.50
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,12,$0.00," "," "," "," "," "," "
,," "," "," "," ",Onyx,1,$0.90," "," "," "," "," "," "
,," "," "," "," ",Maison,12,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,2,$0.60," "," "," "," "," "," "
,," "," "," "," ",Dine In,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Espresso,$46.20,$46.20,11,0," "," ",-,$0.00,$0.00,3.89%,$4.20,$0.00,$46.20
,," "," "," "," ",Onyx,11,$9.90," "," "," "," "," "," "
,," "," "," "," ",Dine In,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$44.50,$44.50,8,0," "," ",-,$0.00,$0.00,3.75%,$5.56,$0.00,$44.50
,," "," "," "," ",Litchi,5,$25.00," "," "," "," "," "," "
,," "," "," "," ",September Geisha Gomez,3,$19.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Cortado,$31.80,$31.80,8,0," "," ",-,$0.00,$0.00,2.68%,$3.98,$0.00,$31.80
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,4,$0.00," "," "," "," "," "," "
,Long Black,$28.10,$28.10,8,0," "," ",-,$0.00,$0.00,2.36%,$3.51,$0.00,$28.10
,," "," "," "," ",Onyx,1,$0.90," "," "," "," "," "," "
,," "," "," "," ",Maison,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Flat White,$26.50,$26.50,6,0," "," ",-,$0.00,$0.00,2.23%,$4.42,$0.00,$26.50
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Onyx,2,$1.80," "," "," "," "," "," "
,," "," "," "," ",Maison,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Americano,$22.10,$22.10,6,0," "," ",-,$0.00,$0.00,1.86%,$3.68,$0.00,$22.10
,," "," "," "," ",Onyx,1,$0.90," "," "," "," "," "," "
,," "," "," "," ",Maison,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Avoine,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Lait Ordinaire,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Mocha Latte,$5.00,$5.00,1,0," "," ",-,$0.00,$0.00,0.42%,$5.00,$0.00,$5.00
,," "," "," "," ",Regular milk - Lait régulier,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
Total (Coffee Hot - Café Chaud),,$430.00,$430.00,96,0,-,263,$79.60,$0.00,$0.00,36.19%,$4.48,$0.00,$430.00

Sans Café - Without Coffee
,Matcha Latte,$58.20,$58.20,11,0," "," ",-,$0.00,$0.00,4.90%,$5.29,$0.00,$58.20
,," "," "," "," ",Only Coconut - Noix de coco seulement,2,$0.40," "," "," "," "," "," "
,," "," "," "," ",Only Oat - Avoine seulement,4,$0.80," "," "," "," "," "," "
,," "," "," "," ",Only Almond - Amande seulement,3,$0.60," "," "," "," "," "," "
,," "," "," "," ",Only Lactose Free - Sans lactose seulement,1,$0.10," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Chocolat Blanc,2,$2.40," "," "," "," "," "," "
,Chai Latte,$44.70,$44.19,9,0," "," ",-,-$0.51,$0.00,3.72%,$4.91,$0.00,$44.19
,," "," "," "," ",Only Oat - Avoine seulement,3,$0.60," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",1 sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Hot Chocolate - Chocolat Chaud,$33.30,$33.30,7,0," "," ",-,$0.00,$0.00,2.80%,$4.76,$0.00,$33.30
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Caramel Chocolate,1,$0.45," "," "," "," "," "," "
,Thé de montagne,$10.50,$10.50,3,0," "," ",-,$0.00,$0.00,0.88%,$3.50,$0.00,$10.50
,," "," "," "," ",Sans sucre,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Earl Grey,$8.20,$8.20,2,0," "," ",-,$0.00,$0.00,0.69%,$4.10,$0.00,$8.20
,London Fog,$5.45,$5.45,1,0," "," ",-,$0.00,$0.00,0.46%,$5.45,$0.00,$5.45
,," "," "," "," ",Only Macadamia - Macadamia seulement,1,$0.35," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
Total (Sans Café - Without Coffee),,$160.35,$159.84,33,0,-,105,$6.70,-$0.51,$0.00,13.45%,$4.84,$0.00,$159.84

Desserts
,Cinnamon bun,$63.75,$63.75,15,0," "," ",-,$0.00,$0.00,5.37%,$4.25,$0.00,$63.75
,," "," "," "," ",Dine In,15,$0.00," "," "," "," "," "," "
,Biscuit,$42.50,$42.50,10,0," "," ",-,$0.00,$0.00,3.58%,$4.25,$0.00,$42.50
,Muffin,$19.50,$19.50,6,0," "," ",-,$0.00,$0.00,1.64%,$3.25,$0.00,$19.50
Total (Desserts),,$125.75,$125.75,31,0,-,15,$0.00,$0.00,$0.00,10.58%,$4.06,$0.00,$125.75

Coffee Cold - Café Froid
,Freddo Latte,$9.30,$9.30,2,0," "," ",-,$0.00,$0.00,0.78%,$4.65,$0.00,$9.30
,," "," "," "," ",Regular milk - Lait régulier,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,1,$0.50," "," "," "," "," "," "
,Freddo Cappuccino,$4.40,$4.40,1,0," "," ",-,$0.00,$0.00,0.37%,$4.40,$0.00,$4.40
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",2 sucres,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
Total (Coffee Cold - Café Froid),,$13.70,$13.70,3,0,-,12,$0.50,$0.00,$0.00,1.15%,$4.57,$0.00,$13.70

TOTAL,,"$1,190.45","$1,188.24",205,0,-," ",$87.20,-$2.21,$0.00,100.00%,$5.80,$0.00,"$1,090.69"
