Items Report
"Jan 4, 2024 12:00 AM - Jan 4, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:18 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$1,015.25"
Net Sales,"$1,013.55"
COGS,$0.00
Gross Profit,"$1,013.55"
Gross Profit Margin,100%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Latte,$145.00,$145.00,30,0," "," ",-,$0.00,$0.00,14.31%,$4.83,$0.00,$145.00
,," "," "," "," ",Oat - Avoine,9,$4.50," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,17,$0.00," "," "," "," "," "," "
,," "," "," "," ",Basha,9,$8.10," "," "," "," "," "," "
,," "," "," "," ",Maison,17,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,4,$1.20," "," "," "," "," "," "
,," "," "," "," ",Dine In,25,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Cappuccino,$91.45,$91.45,19,0," "," ",-,$0.00,$0.00,9.02%,$4.81,$0.00,$91.45
,," "," "," "," ",Oat - Avoine,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Lactose free - Sans lactose,1,$0.35," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,14,$0.00," "," "," "," "," "," "
,," "," "," "," ",Basha,8,$7.20," "," "," "," "," "," "
,," "," "," "," ",Maison,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,6,$0.00," "," "," "," "," "," "
,Flat White,$90.50,$88.80,20,0," "," ",-,-$1.70,$0.00,8.76%,$4.44,$0.00,$88.80
,," "," "," "," ",Oat - Avoine,5,$2.50," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,14,$0.00," "," "," "," "," "," "
,," "," "," "," ",Basha,8,$7.20," "," "," "," "," "," "
,," "," "," "," ",Maison,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.30," "," "," "," "," "," "
,," "," "," "," ",Dine In,15,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Mocha Latte,$26.20,$26.20,5,0," "," ",-,$0.00,$0.00,2.58%,$5.24,$0.00,$26.20
,," "," "," "," ",Regular milk - Lait régulier,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Basha,1,$0.90," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.30," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Cortado,$23.45,$23.45,5,0," "," ",-,$0.00,$0.00,2.31%,$4.69,$0.00,$23.45
,," "," "," "," ",Oat - Avoine,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Basha,3,$2.70," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Espresso,$15.00,$15.00,4,0," "," ",-,$0.00,$0.00,1.48%,$3.75,$0.00,$15.00
,," "," "," "," ",Basha,2,$1.80," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$12.00,$12.00,3,0," "," ",-,$0.00,$0.00,1.18%,$4.00,$0.00,$12.00
,," "," "," "," ",Robinson Rivera Traffic,3,$12.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,Americano,$10.65,$10.65,3,0," "," ",-,$0.00,$0.00,1.05%,$3.55,$0.00,$10.65
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.30," "," "," "," "," "," "
,," "," "," "," ",Sans lait,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Long Black,$3.40,$3.40,1,0," "," ",-,$0.00,$0.00,0.34%,$3.40,$0.00,$3.40
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
Total (Coffee Hot - Café Chaud),,$417.65,$415.95,90,0,-,262,$55.75,-$1.70,$0.00,41.04%,$4.62,$0.00,$415.95

Uncategorized
,Basha Bekele Espresso,$55.00,$55.00,2,0," "," ",-,$0.00,$0.00,5.43%,$27.50,$0.00,$55.00
,Dejeuner Sandwich,$42.50,$42.50,5,0," "," ",-,$0.00,$0.00,4.19%,$8.50,$0.00,$42.50
,Bostock,$36.00,$36.00,3,0," "," ",-,$0.00,$0.00,3.55%,$12.00,$0.00,$36.00
,Jimmy Gomez,$30.00,$30.00,1,0," "," ",-,$0.00,$0.00,2.96%,$30.00,$0.00,$30.00
,Kayana,$28.00,$28.00,2,0," "," ",-,$0.00,$0.00,2.76%,$14.00,$0.00,$28.00
,Colorfull Decaf,$27.00,$27.00,1,0," "," ",-,$0.00,$0.00,2.66%,$27.00,$0.00,$27.00
,Toast Avocat,$26.00,$26.00,2,0," "," ",-,$0.00,$0.00,2.57%,$13.00,$0.00,$26.00
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,Sandwich Saucisse,$25.00,$25.00,2,0," "," ",-,$0.00,$0.00,2.47%,$12.50,$0.00,$25.00
,Brownie,$22.50,$22.50,5,0," "," ",-,$0.00,$0.00,2.22%,$4.50,$0.00,$22.50
,Gâteau au citron,$19.80,$19.80,6,0," "," ",-,$0.00,$0.00,1.95%,$3.30,$0.00,$19.80
,Lavande Latte,$10.35,$10.35,2,0," "," ",-,$0.00,$0.00,1.02%,$5.18,$0.00,$10.35
,," "," "," "," ",Only Oat - Avoine seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Macadamia - Macadamia seulement,1,$0.35," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Biscuit Noel,$10.00,$10.00,4,0," "," ",-,$0.00,$0.00,0.99%,$2.50,$0.00,$10.00
,Pain D'épices,$7.00,$7.00,2,0," "," ",-,$0.00,$0.00,0.69%,$3.50,$0.00,$7.00
Total (Uncategorized),,$339.15,$339.15,37,0,-,10,$0.55,$0.00,$0.00,33.46%,$9.17,$0.00,$339.15

Sans Café - Without Coffee
,Chai Latte,$46.10,$46.10,9,0," "," ",-,$0.00,$0.00,4.55%,$5.12,$0.00,$46.10
,," "," "," "," ",Only Oat - Avoine seulement,5,$1.00," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",1/2 sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",1 sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",With Espresso,1,$1.00," "," "," "," "," "," "
,London Fog,$36.50,$36.50,7,0," "," ",-,$0.00,$0.00,3.60%,$5.21,$0.00,$36.50
,," "," "," "," ",Only Coconut - Noix de coco seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Almond - Amande seulement,3,$0.60," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Hot Chocolate - Chocolat Chaud,$32.35,$32.35,7,0," "," ",-,$0.00,$0.00,3.19%,$4.62,$0.00,$32.35
,," "," "," "," ",Oat - Avoine,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,7,$0.00," "," "," "," "," "," "
,Matcha Latte,$26.85,$26.85,5,0," "," ",-,$0.00,$0.00,2.65%,$5.37,$0.00,$26.85
