Items Report
"Jul 8, 2024 12:00 AM - Jul 8, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:46 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$1,181.20"
Net Sales,"$1,180.32"
COGS,$0.00
Gross Profit,"$1,151.32"
Gross Profit Margin,97.54%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Latte,$120.80,$120.80,26,0," "," ",-,$0.00,$0.00,10.23%,$4.65,$0.00,$120.80
,," "," "," "," ",Oat - Avoine,8,$4.00," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,4,$2.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Soy,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Maison,24,$0.00," "," "," "," "," "," "
,," "," "," "," ",Xtra House Espresso,1,$1.50," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,16,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,1,$0.50," "," "," "," "," "," "
,Flat White,$58.50,$58.50,14,0," "," ",-,$0.00,$0.00,4.96%,$4.18,$0.00,$58.50
,," "," "," "," ",Oat - Avoine,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,12,$0.00," "," "," "," "," "," "
,," "," "," "," ",Soy,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Subtext,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,12,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
