Items Report
"Jun 19, 2024 12:00 AM - Jun 19, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:43 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$1,109.95"
Net Sales,"$1,108.10"
COGS,$0.00
Gross Profit,"$1,108.10"
Gross Profit Margin,100%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Cold - Café Froid
,Freddo Latte,$210.90,$210.90,44,0," "," ",-,$0.00,$0.00,19.03%,$4.79,$0.00,$210.90
,," "," "," "," ",Oat - Avoine,16,$8.00," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Coconut - Noix de coco,2,$1.20," "," "," "," "," "," "
,," "," "," "," ",Macadamia,3,$2.10," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,21,$0.00," "," "," "," "," "," "
,," "," "," "," ",Duck Rabbit,2,$2.00," "," "," "," "," "," "
,," "," "," "," ",Maison,40,$0.00," "," "," "," "," "," "
,," "," "," "," ",Xtra House Espresso,1,$1.50," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,38,$0.00," "," "," "," "," "," "
,," "," "," "," ",1/2 sucre,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",1 sucre,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,21,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,23,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,2,$1.00," "," "," "," "," "," "
,Cold Brew,$80.00,$79.50,16,0," "," ",-,-$0.50,$0.00,7.17%,$4.97,$0.00,$79.50
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,16,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Iced Americano,$34.25,$34.25,8,0," "," ",-,$0.00,$0.00,3.09%,$4.28,$0.00,$34.25
,," "," "," "," ",Almond - Amande,1,$0.15," "," "," "," "," "," "
,," "," "," "," ",Lait Regulier,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Freddo Espresso,$32.40,$32.40,7,0," "," ",-,$0.00,$0.00,2.92%,$4.63,$0.00,$32.40
,," "," "," "," ",Duck Rabbit,2,$2.00," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Freddo Cappuccino,$19.60,$19.60,4,0," "," ",-,$0.00,$0.00,1.77%,$4.90,$0.00,$19.60
,," "," "," "," ",Duck Rabbit,2,$2.00," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
Total (Coffee Cold - Café Froid),,$377.15,$376.65,79,0,-,276,$22.95,-$0.50,$0.00,33.99%,$4.77,$0.00,$376.65

Coffee Hot - Café Chaud
,Latte,$61.60,$60.92,12,0," "," ",-,-$0.68,$0.00,5.50%,$5.08,$0.00,$60.92
,," "," "," "," ",Oat - Avoine,5,$2.50," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Duck Rabbit,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Xtra House Espresso,2,$3.00," "," "," "," "," "," "
,," "," "," "," ",Xtra Single Origin Espresso,1,$2.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,8,$0.00," "," "," "," "," "," "
,Cappuccino,$22.50,$22.50,5,0," "," ",-,$0.00,$0.00,2.03%,$4.50,$0.00,$22.50
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$21.70,$21.03,4,0," "," ",-,-$0.67,$0.00,1.90%,$5.26,$0.00,$21.03
,," "," "," "," ",Hot - Chaud,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Papayo,1,$6.70," "," "," "," "," "," "
,," "," "," "," ",Tumba,3,$15.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Americano,$18.25,$18.25,5,0," "," ",-,$0.00,$0.00,1.65%,$3.65,$0.00,$18.25
,," "," "," "," ",Duck Rabbit,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,4,$0.00," "," "," "," "," "," "
