Items Report
"Jun 1, 2024 12:00 AM - Jun 1, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:41 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$1,092.45"
Net Sales,"$1,092.45"
COGS,$0.00
Gross Profit,"$1,090.45"
Gross Profit Margin,99.82%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Cold - Café Froid
,Freddo Latte,$121.05,$121.05,25,0," "," ",-,$0.00,$0.00,11.08%,$4.84,$0.00,$121.05
,," "," "," "," ",Oat - Avoine,8,$4.00," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Lactose free - Sans lactose,1,$0.35," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,15,$0.00," "," "," "," "," "," "
,," "," "," "," ",Prodigal,6,$6.00," "," "," "," "," "," "
,," "," "," "," ",Maison,19,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,21,$0.00," "," "," "," "," "," "
,," "," "," "," ",1/2 sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",1 sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,20,$0.00," "," "," "," "," "," "
,Cold Brew,$75.00,$75.00,15,0," "," ",-,$0.00,$0.00,6.87%,$5.00,$0.00,$75.00
,," "," "," "," ",Sans sucre,15,$0.00," "," "," "," "," "," "
,," "," "," "," ",Lait Ordinaire,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,13,$0.00," "," "," "," "," "," "
,Freddo Cappuccino,$46.60,$46.60,9,0," "," ",-,$0.00,$0.00,4.27%,$5.18,$0.00,$46.60
,," "," "," "," ",Prodigal,7,$7.00," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,8,$0.00," "," "," "," "," "," "
,Freddo Espresso,$33.40,$33.40,7,0," "," ",-,$0.00,$0.00,3.06%,$4.77,$0.00,$33.40
,," "," "," "," ",Prodigal,4,$4.00," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,6,$0.00," "," "," "," "," "," "
Total (Coffee Cold - Café Froid),,$276.05,$276.05,56,0,-,193,$22.05,$0.00,$0.00,25.27%,$4.93,$0.00,$276.05

Coffee Hot - Café Chaud
,Latte,$78.30,$78.30,16,0," "," ",-,$0.00,$0.00,7.17%,$4.89,$0.00,$78.30
,," "," "," "," ",Oat - Avoine,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Prodigal,8,$8.00," "," "," "," "," "," "
,," "," "," "," ",Maison,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,7,$0.00," "," "," "," "," "," "
,Americano,$35.05,$35.05,9,0," "," ",-,$0.00,$0.00,3.21%,$3.89,$0.00,$35.05
,," "," "," "," ",Prodigal,4,$4.00," "," "," "," "," "," "
,," "," "," "," ",Maison,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Lait Ordinaire,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,6,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$34.00,$34.00,7,0," "," ",-,$0.00,$0.00,3.11%,$4.86,$0.00,$34.00
,," "," "," "," ",Hot - Chaud,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Frank Torres,2,$9.00," "," "," "," "," "," "
,," "," "," "," ",Githembe,1,$4.25," "," "," "," "," "," "
,," "," "," "," ",Jorge Rojas,3,$16.50," "," "," "," "," "," "
,," "," "," "," ",Monogram,1,$4.25," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Flat White,$28.50,$28.50,6,0," "," ",-,$0.00,$0.00,2.61%,$4.75,$0.00,$28.50
,," "," "," "," ",Oat - Avoine,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Prodigal,4,$4.00," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Cortado,$25.30,$25.30,6,0," "," ",-,$0.00,$0.00,2.32%,$4.22,$0.00,$25.30
,," "," "," "," ",Oat - Avoine,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,6,$0.00," "," "," "," "," "," "
,Cappuccino,$23.50,$23.50,5,0," "," ",-,$0.00,$0.00,2.15%,$4.70,$0.00,$23.50
,," "," "," "," ",Regular milk - Lait régulier,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Prodigal,2,$2.00," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Espresso,$18.50,$18.50,5,0," "," ",-,$0.00,$0.00,1.69%,$3.70,$0.00,$18.50
,," "," "," "," ",Prodigal,2,$2.00," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,4,$0.00," "," "," "," "," "," "
,Long Black,$11.20,$11.20,3,0," "," ",-,$0.00,$0.00,1.03%,$3.73,$0.00,$11.20
,," "," "," "," ",Prodigal,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Mocha,$5.00,$5.00,1,0," "," ",-,$0.00,$0.00,0.46%,$5.00,$0.00,$5.00
,," "," "," "," ",Regular milk - Lait régulier,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
Total (Coffee Hot - Café Chaud),,$259.35,$259.35,58,0,-,167,$59.20,$0.00,$0.00,23.74%,$4.47,$0.00,$259.35

Uncategorized
,Colorful Jelly,$82.50,$82.50,3,0," "," ",-,$0.00,$0.00,7.55%,$27.50,$0.00,$82.50
,Burundi Prodigal,$27.50,$27.50,1,0," "," ",-,$0.00,$0.00,2.52%,$27.50,$0.00,$27.50
,Colorful Melon,$26.00,$26.00,1,0," "," ",-,$0.00,$0.00,2.38%,$26.00,$0.00,$26.00
,Lavande Latte,$24.70,$24.70,4,0," "," ",-,$0.00,$0.00,2.26%,$6.18,$0.00,$24.70
,," "," "," "," ",Only Oat - Avoine seulement,2,$0.40," "," "," "," "," "," "
,," "," "," "," ",Only Almond - Amande seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",1 sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Extra Espresso,3,$4.50," "," "," "," "," "," "
,Tsoureki Brioche,$21.20,$21.20,4,0," "," ",-,$0.00,$0.00,1.94%,$5.30,$0.00,$21.20
,Gâteau au citron,$13.20,$13.20,4,0," "," ",-,$0.00,$0.00,1.21%,$3.30,$0.00,$13.20
,Matcha Biscuit,$9.50,$9.50,2,0," "," ",-,$0.00,$0.00,0.87%,$4.75,$0.00,$9.50
,Brioche Citron Noir,$8.50,$8.50,2,0," "," ",-,$0.00,$0.00,0.78%,$4.25,$0.00,$8.50
,Article personnalisé,$2.00,$2.00,1,0," "," ",-,$0.00,$0.00,0.18%,$2.00,-,-
Total (Uncategorized),,$215.10,$215.10,22,0,-,19,$5.10,$0.00,$0.00,19.69%,$9.78,$0.00,$213.10

Menu Spécial
,Dejeuner,$55.00,$55.00,5,0," "," ",-,$0.00,$0.00,5.03%,$11.00,$0.00,$55.00
,Poulet,$42.00,$42.00,3,0," "," ",-,$0.00,$0.00,3.84%,$14.00,$0.00,$42.00
,Avocat,$26.00,$26.00,2,0," "," ",-,$0.00,$0.00,2.38%,$13.00,$0.00,$26.00
,La Terre,$12.00,$12.00,1,0," "," ",-,$0.00,$0.00,1.10%,$12.00,$0.00,$12.00
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,Méditerranée,$12.00,$12.00,1,0," "," ",-,$0.00,$0.00,1.10%,$12.00,$0.00,$12.00
Total (Menu Spécial),,$147.00,$147.00,12,0,-,1,$0.00,$0.00,$0.00,13.46%,$12.25,$0.00,$147.00

Desserts
,Brioche Cannele,$55.25,$55.25,13,0," "," ",-,$0.00,$0.00,5.06%,$4.25,$0.00,$55.25
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,8,$0.00," "," "," "," "," "," "
