Items Report
"Mar 25, 2024 12:00 AM - Mar 25, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:31 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,$915.55
Net Sales,$914.12
COGS,$0.00
Gross Profit,$912.62
Gross Profit Margin,99.84%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,Colorfull Melon,$54.00,$54.00,2,0," "," ",-,$0.00,$0.00,5.91%,$27.00,$0.00,$54.00
,Salmon Sandwich,$52.00,$52.00,4,0," "," ",-,$0.00,$0.00,5.69%,$13.00,$0.00,$52.00
,Dejeuner Sandwich,$51.00,$51.00,6,0," "," ",-,$0.00,$0.00,5.58%,$8.50,$0.00,$51.00
,Sandwich Saucisse,$50.00,$50.00,4,0," "," ",-,$0.00,$0.00,5.47%,$12.50,$0.00,$50.00
,Kayana,$28.00,$28.00,2,0," "," ",-,$0.00,$0.00,3.06%,$14.00,$0.00,$28.00
,September Peru,$26.00,$26.00,1,0," "," ",-,$0.00,$0.00,2.84%,$26.00,$0.00,$26.00
,Toast Avocat,$26.00,$26.00,2,0," "," ",-,$0.00,$0.00,2.84%,$13.00,$0.00,$26.00
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,Colorfull Lost & Found,$25.00,$25.00,1,0," "," ",-,$0.00,$0.00,2.73%,$25.00,$0.00,$25.00
,Bostock,$24.00,$24.00,2,0," "," ",-,$0.00,$0.00,2.63%,$12.00,$0.00,$24.00
,Matcha Biscuit,$23.75,$23.75,5,0," "," ",-,$0.00,$0.00,2.60%,$4.75,$0.00,$23.75
,Oreo Brioche,$19.00,$19.00,4,0," "," ",-,$0.00,$0.00,2.08%,$4.75,$0.00,$19.00
,Gâteau au citron,$9.90,$9.90,3,0," "," ",-,$0.00,$0.00,1.08%,$3.30,$0.00,$9.90
,Lavande Latte,$9.80,$9.80,2,0," "," ",-,$0.00,$0.00,1.07%,$4.90,$0.00,$9.80
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,Chia Pudding,$9.00,$9.00,1,0," "," ",-,$0.00,$0.00,0.98%,$9.00,$0.00,$9.00
,Brioche Caux Noir,$8.50,$8.50,2,0," "," ",-,$0.00,$0.00,0.93%,$4.25,$0.00,$8.50
,Gateau Noisette,$7.00,$7.00,2,0," "," ",-,$0.00,$0.00,0.77%,$3.50,$0.00,$7.00
,Bisuit Orange,$5.25,$5.25,3,0," "," ",-,$0.00,$0.00,0.57%,$1.75,$0.00,$5.25
,Article personnalisé,$1.00,$1.00,1,0," "," ",-,$0.00,$0.00,0.11%,$1.00,-,-
,Article personnalisé,$0.50,$0.50,1,0," "," ",-,$0.00,$0.00,0.05%,$0.50,-,-
Total (Uncategorized),,$429.70,$429.70,48,0,-,10,$0.00,$0.00,$0.00,47.01%,$8.95,$0.00,$428.20

Coffee Hot - Café Chaud
,Latte,$102.30,$102.30,22,0," "," ",-,$0.00,$0.00,11.19%,$4.65,$0.00,$102.30
,," "," "," "," ",Oat - Avoine,7,$3.50," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Lost Peaches,3,$2.70," "," "," "," "," "," "
,," "," "," "," ",Maison,19,$0.00," "," "," "," "," "," "
