Items Report
"May 30, 2024 12:00 AM - May 30, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:40 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,$811.00
Net Sales,$808.94
COGS,$0.00
Gross Profit,$805.44
Gross Profit Margin,99.57%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Latte,$114.40,$112.79,24,0," "," ",-,-$1.61,$0.00,13.94%,$4.70,$0.00,$112.79
,," "," "," "," ",Oat - Avoine,5,$2.50," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,17,$0.00," "," "," "," "," "," "
,," "," "," "," ",Prodigal,7,$7.00," "," "," "," "," "," "
,," "," "," "," ",Maison,17,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,15,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,1,$0.50," "," "," "," "," "," "
,Pour-over Filtre,$49.50,$49.50,11,0," "," ",-,$0.00,$0.00,6.12%,$4.50,$0.00,$49.50
,," "," "," "," ",Hot - Chaud,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Frank Torres,6,$27.00," "," "," "," "," "," "
,," "," "," "," ",Githembe,2,$8.50," "," "," "," "," "," "
,," "," "," "," ",Jorge Rojas,1,$5.50," "," "," "," "," "," "
,," "," "," "," ",Monogram,2,$8.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Cortado,$40.50,$40.50,10,0," "," ",-,$0.00,$0.00,5.01%,$4.05,$0.00,$40.50
,," "," "," "," ",Oat - Avoine,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Flat White,$36.50,$36.05,8,0," "," ",-,-$0.45,$0.00,4.46%,$4.51,$0.00,$36.05
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Prodigal,3,$3.00," "," "," "," "," "," "
,," "," "," "," ",Maison,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,6,$0.00," "," "," "," "," "," "
,Cappuccino,$31.10,$31.10,7,0," "," ",-,$0.00,$0.00,3.84%,$4.44,$0.00,$31.10
,," "," "," "," ",Regular milk - Lait régulier,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Prodigal,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Espresso,$19.50,$19.50,5,0," "," ",-,$0.00,$0.00,2.41%,$3.90,$0.00,$19.50
,," "," "," "," ",Prodigal,3,$3.00," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Long Black,$8.80,$8.80,2,0," "," ",-,$0.00,$0.00,1.09%,$4.40,$0.00,$8.80
,," "," "," "," ",Prodigal,2,$2.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Mocha,$5.50,$5.50,1,0," "," ",-,$0.00,$0.00,0.68%,$5.50,$0.00,$5.50
,," "," "," "," ",Regular milk - Lait régulier,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Americano,$3.45,$3.45,1,0," "," ",-,$0.00,$0.00,0.43%,$3.45,$0.00,$3.45
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
Total (Coffee Hot - Café Chaud),,$309.25,$307.19,69,0,-,201,$73.70,-$2.06,$0.00,37.97%,$4.45,$0.00,$307.19

Coffee Cold - Café Froid
,Freddo Latte,$78.40,$78.40,16,0," "," ",-,$0.00,$0.00,9.69%,$4.90,$0.00,$78.40
,," "," "," "," ",Oat - Avoine,5,$2.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Prodigal,4,$4.00," "," "," "," "," "," "
,," "," "," "," ",Maison,12,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",1/2 sucre,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,3,$1.50," "," "," "," "," "," "
,Freddo Cappuccino,$20.10,$20.10,4,0," "," ",-,$0.00,$0.00,2.48%,$5.03,$0.00,$20.10
,," "," "," "," ",Prodigal,2,$2.00," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",1 sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,1,$0.50," "," "," "," "," "," "
,Cold Brew,$20.00,$20.00,4,0," "," ",-,$0.00,$0.00,2.47%,$5.00,$0.00,$20.00
,," "," "," "," ",Sans sucre,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Freddo Espresso,$9.40,$9.40,2,0," "," ",-,$0.00,$0.00,1.16%,$4.70,$0.00,$9.40
,," "," "," "," ",Prodigal,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Iced Americano,$4.20,$4.20,1,0," "," ",-,$0.00,$0.00,0.52%,$4.20,$0.00,$4.20
,," "," "," "," ",Lait Regulier,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
Total (Coffee Cold - Café Froid),,$132.10,$132.10,27,0,-,102,$11.50,$0.00,$0.00,16.33%,$4.89,$0.00,$132.10

Menu Spécial
,Dejeuner,$55.00,$55.00,5,0," "," ",-,$0.00,$0.00,6.80%,$11.00,$0.00,$55.00
,Méditerranée,$48.00,$48.00,4,0," "," ",-,$0.00,$0.00,5.93%,$12.00,$0.00,$48.00
,Avocat,$26.00,$26.00,2,0," "," ",-,$0.00,$0.00,3.21%,$13.00,$0.00,$26.00
Total (Menu Spécial),,$129.00,$129.00,11,0,-," ",$0.00,$0.00,$0.00,15.95%,$11.73,$0.00,$129.00

Uncategorized
,Subtext Volcan Azul,$29.00,$29.00,1,0," "," ",-,$0.00,$0.00,3.58%,$29.00,$0.00,$29.00
,Brioche Citron Noir,$21.25,$21.25,5,0," "," ",-,$0.00,$0.00,2.63%,$4.25,$0.00,$21.25
,Matcha Biscuit,$14.25,$14.25,3,0," "," ",-,$0.00,$0.00,1.76%,$4.75,$0.00,$14.25
,Tsoureki Brioche,$10.60,$10.60,2,0," "," ",-,$0.00,$0.00,1.31%,$5.30,$0.00,$10.60
,Gâteau au citron,$9.90,$9.90,3,0," "," ",-,$0.00,$0.00,1.22%,$3.30,$0.00,$9.90
,Chia Pudding,$9.00,$9.00,1,0," "," ",-,$0.00,$0.00,1.11%,$9.00,$0.00,$9.00
,Lavande Latte,$6.40,$6.40,1,0," "," ",-,$0.00,$0.00,0.79%,$6.40,$0.00,$6.40
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",1 sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Extra Espresso,1,$1.50," "," "," "," "," "," "
,Article personnalisé,$2.00,$2.00,1,0," "," ",-,$0.00,$0.00,0.25%,$2.00,-,-
,Article personnalisé,$1.50,$1.50,1,0," "," ",-,$0.00,$0.00,0.19%,$1.50,-,-
Total (Uncategorized),,$103.90,$103.90,18,0,-,5,$1.50,$0.00,$0.00,12.84%,$5.77,$0.00,$100.40

Desserts
