Items Report
"May 4, 2024 12:00 AM - May 4, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:37 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$1,415.75"
Net Sales,"$1,415.75"
COGS,$0.00
Gross Profit,"$1,413.00"
Gross Profit Margin,99.81%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Latte,$188.50,$188.50,41,0," "," ",-,$0.00,$0.00,13.31%,$4.60,$0.00,$188.50
,," "," "," "," ",Oat - Avoine,14,$7.00," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,26,$0.00," "," "," "," "," "," "
,," "," "," "," ",Plum Jelly,2,$2.00," "," "," "," "," "," "
,," "," "," "," ",Maison,37,$0.00," "," "," "," "," "," "
,," "," "," "," ",Xtra House Espresso,1,$1.50," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,16,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,25,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,1,$0.50," "," "," "," "," "," "
,Cappuccino,$110.40,$110.40,23,0," "," ",-,$0.00,$0.00,7.80%,$4.80,$0.00,$110.40
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,20,$0.00," "," "," "," "," "," "
,," "," "," "," ",Plum Jelly,9,$9.00," "," "," "," "," "," "
,," "," "," "," ",Maison,12,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,10,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$48.00,$48.00,10,0," "," ",-,$0.00,$0.00,3.39%,$4.80,$0.00,$48.00
,," "," "," "," ",Hot - Chaud,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Githembe,2,$8.50," "," "," "," "," "," "
,," "," "," "," ",Jorge Rojas,2,$11.00," "," "," "," "," "," "
,," "," "," "," ",Volcan Azul,6,$28.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Flat White,$46.00,$46.00,10,0," "," ",-,$0.00,$0.00,3.25%,$4.60,$0.00,$46.00
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Plum Jelly,5,$5.00," "," "," "," "," "," "
,," "," "," "," ",Maison,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Cortado,$42.00,$42.00,10,0," "," ",-,$0.00,$0.00,2.97%,$4.20,$0.00,$42.00
,," "," "," "," ",Oat - Avoine,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Plum Jelly,3,$3.00," "," "," "," "," "," "
,," "," "," "," ",Maison,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Espresso,$36.70,$36.70,9,0," "," ",-,$0.00,$0.00,2.59%,$4.08,$0.00,$36.70
,," "," "," "," ",Plum Jelly,7,$7.00," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Americano,$32.60,$32.60,8,0," "," ",-,$0.00,$0.00,2.30%,$4.08,$0.00,$32.60
,," "," "," "," ",Plum Jelly,5,$5.00," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Creme,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Mocha,$20.50,$20.50,4,0," "," ",-,$0.00,$0.00,1.45%,$5.13,$0.00,$20.50
,," "," "," "," ",Oat - Avoine,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Long Black,$7.80,$7.80,2,0," "," ",-,$0.00,$0.00,0.55%,$3.90,$0.00,$7.80
,," "," "," "," ",Plum Jelly,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
Total (Coffee Hot - Café Chaud),,$532.50,$532.50,117,0,-,341,$94.70,$0.00,$0.00,37.61%,$4.55,$0.00,$532.50

Uncategorized
,Toast Avocat,$91.00,$91.00,7,0," "," ",-,$0.00,$0.00,6.43%,$13.00,$0.00,$91.00
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Dejeuner Sandwich,$76.50,$76.50,9,0," "," ",-,$0.00,$0.00,5.40%,$8.50,$0.00,$76.50
,Kayana,$70.00,$70.00,5,0," "," ",-,$0.00,$0.00,4.94%,$14.00,$0.00,$70.00
,Colorful Jelly,$55.00,$55.00,2,0," "," ",-,$0.00,$0.00,3.88%,$27.50,$0.00,$55.00
,Matcha Biscuit,$47.50,$47.50,10,0," "," ",-,$0.00,$0.00,3.36%,$4.75,$0.00,$47.50
,Lavande Latte,$36.50,$36.50,7,0," "," ",-,$0.00,$0.00,2.58%,$5.21,$0.00,$36.50
,," "," "," "," ",Only Oat - Avoine seulement,3,$0.60," "," "," "," "," "," "
,," "," "," "," ",Only Lactose Free - Sans lactose seulement,1,$0.10," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Extra Espresso,1,$1.50," "," "," "," "," "," "
,Oreo Brioche,$23.75,$23.75,5,0," "," ",-,$0.00,$0.00,1.68%,$4.75,$0.00,$23.75
,Brioche Caux Noir,$21.25,$21.25,5,0," "," ",-,$0.00,$0.00,1.50%,$4.25,$0.00,$21.25
,Gâteau au citron,$19.80,$19.80,6,0," "," ",-,$0.00,$0.00,1.40%,$3.30,$0.00,$19.80
,Chia Pudding,$18.00,$18.00,2,0," "," ",-,$0.00,$0.00,1.27%,$9.00,$0.00,$18.00
,Salmon Sandwich,$13.00,$13.00,1,0," "," ",-,$0.00,$0.00,0.92%,$13.00,$0.00,$13.00
,Sandwich Saucisse,$12.50,$12.50,1,0," "," ",-,$0.00,$0.00,0.88%,$12.50,$0.00,$12.50
,Article personnalisé,$1.50,$1.50,1,0," "," ",-,$0.00,$0.00,0.11%,$1.50,-,-
,Article personnalisé,$0.75,$0.75,1,0," "," ",-,$0.00,$0.00,0.05%,$0.75,-,-
,Article personnalisé,$0.50,$0.50,1,0," "," ",-,$0.00,$0.00,0.04%,$0.50,-,-
Total (Uncategorized),,$487.55,$487.55,63,0,-,36,$2.20,$0.00,$0.00,34.44%,$7.74,$0.00,$484.80

Desserts
,Biscuit,$68.00,$68.00,16,0," "," ",-,$0.00,$0.00,4.80%,$4.25,$0.00,$68.00
,Brioche Cannele,$68.00,$68.00,16,0," "," ",-,$0.00,$0.00,4.80%,$4.25,$0.00,$68.00
,," "," "," "," ",Dine In,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Muffin,$26.00,$26.00,8,0," "," ",-,$0.00,$0.00,1.84%,$3.25,$0.00,$26.00
Total (Desserts),,$162.00,$162.00,40,0,-,16,$0.00,$0.00,$0.00,11.44%,$4.05,$0.00,$162.00

Sans Café - Without Coffee
,Matcha Latte,$45.80,$45.80,9,0," "," ",-,$0.00,$0.00,3.24%,$5.09,$0.00,$45.80
,," "," "," "," ",Only Coconut - Noix de coco seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Oat - Avoine seulement,3,$0.60," "," "," "," "," "," "
,," "," "," "," ",Only Almond - Amande seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Macadamia - Macadamia seulement,2,$0.70," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Chai Latte,$27.10,$27.10,5,0," "," ",-,$0.00,$0.00,1.91%,$5.42,$0.00,$27.10
,," "," "," "," ",Only Oat - Avoine seulement,2,$0.40," "," "," "," "," "," "
,," "," "," "," ",Only Almond - Amande seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Only Skim Milk - Lait écrémé seulement,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",With Espresso,2,$2.00," "," "," "," "," "," "
,London Fog,$15.90,$15.90,3,0," "," ",-,$0.00,$0.00,1.12%,$5.30,$0.00,$15.90
,," "," "," "," ",Only Oat - Avoine seulement,3,$0.60," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,Thé Glacé,$12.60,$12.60,3,0," "," ",-,$0.00,$0.00,0.89%,$4.20,$0.00,$12.60
,Hot Chocolate - Chocolat Chaud,$9.10,$9.10,2,0," "," ",-,$0.00,$0.00,0.64%,$4.55,$0.00,$9.10
,," "," "," "," ",Regular milk - Lait régulier,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,Earl Grey,$8.20,$8.20,2,0," "," ",-,$0.00,$0.00,0.58%,$4.10,$0.00,$8.20
Total (Sans Café - Without Coffee),,$118.70,$118.70,24,0,-,68,$4.90,$0.00,$0.00,8.38%,$4.95,$0.00,$118.70

Coffee Cold - Café Froid
,Freddo Latte,$49.00,$49.00,10,0," "," ",-,$0.00,$0.00,3.46%,$4.90,$0.00,$49.00
,," "," "," "," ",Oat - Avoine,4,$2.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Plum Jelly,3,$3.00," "," "," "," "," "," "
,," "," "," "," ",Maison,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",1/2 sucre,2,$0.00," "," "," "," "," "," "
