Items Report
"Nov 1, 2023 12:00 AM - Nov 1, 2023 11:59 PM"
"Requested on: Dec 11, 2024 1:08 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,$784.60
Net Sales,$775.80
COGS,$0.00
Gross Profit,$775.80
Gross Profit Margin,100%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Latte,$113.70,$113.28,24,0," "," ",-,-$0.42,$0.00,14.60%,$4.72,$0.00,$113.28
,," "," "," "," ",Oat - Avoine,4,$2.00," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Colorfull- Single Origin,11,$9.90," "," "," "," "," "," "
,," "," "," "," ",Maison,12,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,14,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,1,$0.50," "," "," "," "," "," "
,Flat White,$80.10,$80.10,18,0," "," ",-,$0.00,$0.00,10.32%,$4.45,$0.00,$80.10
,," "," "," "," ",Oat - Avoine,6,$3.00," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Colorfull- Single Origin,8,$7.20," "," "," "," "," "," "
,," "," "," "," ",Maison,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,1,$1.00," "," "," "," "," "," "
,Cortado,$51.00,$51.00,12,0," "," ",-,$0.00,$0.00,6.57%,$4.25,$0.00,$51.00
,," "," "," "," ",Oat - Avoine,6,$3.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Colorfull- Single Origin,4,$3.60," "," "," "," "," "," "
,," "," "," "," ",Maison,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,7,$0.00," "," "," "," "," "," "
,Cappuccino,$50.45,$49.62,11,0," "," ",-,-$0.83,$0.00,6.40%,$4.51,$0.00,$49.62
,," "," "," "," ",Almond - Amande,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Colorfull- Single Origin,4,$3.60," "," "," "," "," "," "
,," "," "," "," ",Maison,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Mocha Latte,$43.00,$43.00,8,0," "," ",-,$0.00,$0.00,5.54%,$5.38,$0.00,$43.00
,," "," "," "," ",Oat - Avoine,5,$2.50," "," "," "," "," "," "
,," "," "," "," ",Coconut - Noix de coco,1,$0.60," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,6,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$26.00,$26.00,6,0," "," ",-,$0.00,$0.00,3.35%,$4.33,$0.00,$26.00
,," "," "," "," ",Colorfull,4,$18.00," "," "," "," "," "," "
,," "," "," "," ",Juicy Kenya,2,$8.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Espresso,$19.50,$19.50,6,0," "," ",-,$0.00,$0.00,2.51%,$3.25,$0.00,$19.50
,," "," "," "," ",Colorfull- Single Origin,1,$0.90," "," "," "," "," "," "
,," "," "," "," ",Maison,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Americano,$14.10,$14.10,4,0," "," ",-,$0.00,$0.00,1.82%,$3.53,$0.00,$14.10
,," "," "," "," ",Colorfull- Single Origin,1,$0.90," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Regular Milk,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Long Black,$12.60,$12.60,3,0," "," ",-,$0.00,$0.00,1.62%,$4.20,$0.00,$12.60
,," "," "," "," ",Colorfull- Single Origin,3,$2.70," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
Total (Coffee Hot - Café Chaud),,$410.45,$409.20,92,0,-,263,$71.50,-$1.25,$0.00,52.75%,$4.45,$0.00,$409.20

Uncategorized
,Dejeuner Sandwich,$51.00,$49.30,6,0," "," ",-,-$1.70,$0.00,6.35%,$8.22,$0.00,$49.30
,Colorfull,$28.00,$28.00,1,0," "," ",-,$0.00,$0.00,3.61%,$28.00,$0.00,$28.00
,Gâteau au citron,$23.10,$23.10,7,0," "," ",-,$0.00,$0.00,2.98%,$3.30,$0.00,$23.10
,Toast Betterave,$24.50,$22.05,2,0," "," ",-,-$2.45,$0.00,2.84%,$11.03,$0.00,$22.05
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Tarte au chocolat,$15.00,$15.00,2,0," "," ",-,$0.00,$0.00,1.93%,$7.50,$0.00,$15.00
,Croissant,$13.00,$13.00,4,0," "," ",-,$0.00,$0.00,1.68%,$3.25,$0.00,$13.00
,Toast Avocat,$13.00,$13.00,1,0," "," ",-,$0.00,$0.00,1.68%,$13.00,$0.00,$13.00
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,Lavande Latte,$9.60,$9.60,2,0," "," ",-,$0.00,$0.00,1.24%,$4.80,$0.00,$9.60
,," "," "," "," ",Only Oat - Avoine seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Plus 1 sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,Mosaic au Chocolat,$9.00,$9.00,3,0," "," ",-,$0.00,$0.00,1.16%,$3.00,$0.00,$9.00
