Items Report
"Oct 13, 2023 12:00 AM - Oct 13, 2023 11:59 PM"
"Requested on: Dec 11, 2024 12:35 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,$740.45
Net Sales,$733.70
COGS,$0.00
Gross Profit,$663.20
Gross Profit Margin,90.39%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Latte,$78.45,$78.45,17,0," "," ",-,$0.00,$0.00,10.69%,$4.61,$0.00,$78.45
,," "," "," "," ",Oat - Avoine,6,$3.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Brazil - Single Origin,7,$4.90," "," "," "," "," "," "
,," "," "," "," ",Maison,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,8,$0.00," "," "," "," "," "," "
,Cappuccino,$75.40,$74.43,16,0," "," ",-,-$0.97,$0.00,10.14%,$4.65,$0.00,$74.43
,," "," "," "," ",Oat - Avoine,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,12,$0.00," "," "," "," "," "," "
,," "," "," "," ",Brazil - Single Origin,10,$7.00," "," "," "," "," "," "
,," "," "," "," ",Maison,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,6,$0.00," "," "," "," "," "," "
,Cortado,$44.10,$44.10,10,0," "," ",-,$0.00,$0.00,6.01%,$4.41,$0.00,$44.10
,," "," "," "," ",Oat - Avoine,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Brazil - Single Origin,8,$5.60," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,4,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$29.85,$29.85,7,0," "," ",-,$0.00,$0.00,4.07%,$4.26,$0.00,$29.85
,," "," "," "," ",Aleto Wendo Sweet,2,$8.00," "," "," "," "," "," "
,," "," "," "," ",Colorfull,4,$18.00," "," "," "," "," "," "
,," "," "," "," ",Narok Mara (Kenya),1,$3.85," "," "," "," "," "," "
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Mocha Latte,$25.20,$25.20,5,0," "," ",-,$0.00,$0.00,3.43%,$5.04,$0.00,$25.20
,," "," "," "," ",Regular milk - Lait régulière,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Brazil - Single Origin,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Maison,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,Flat White,$15.90,$15.90,4,0," "," ",-,$0.00,$0.00,2.17%,$3.98,$0.00,$15.90
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,Americano,$8.00,$8.00,2,0," "," ",-,$0.00,$0.00,1.09%,$4.00,$0.00,$8.00
,," "," "," "," ",Brazil - Single Origin,2,$1.40," "," "," "," "," "," "
,," "," "," "," ",Sans lait,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,Long Black,$4.00,$4.00,1,0," "," ",-,$0.00,$0.00,0.55%,$4.00,$0.00,$4.00
,," "," "," "," ",Brazil - Single Origin,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,Espresso,$3.10,$3.10,1,0," "," ",-,$0.00,$0.00,0.42%,$3.10,$0.00,$3.10
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
Total (Coffee Hot - Café Chaud),,$284.00,$283.03,63,0,-,179,$57.35,-$0.97,$0.00,38.58%,$4.49,$0.00,$283.03

Uncategorized
,Article personnalisé,$70.50,$70.50,3,0," "," ",-,$0.00,$0.00,9.61%,$23.50,-,-
,Dejeuner Sandwich,$42.50,$40.80,5,0," "," ",-,-$1.70,$0.00,5.56%,$8.16,$0.00,$40.80
,Croissant,$29.25,$29.25,9,0," "," ",-,$0.00,$0.00,3.99%,$3.25,$0.00,$29.25
,Colorfull,$28.00,$28.00,1,0," "," ",-,$0.00,$0.00,3.82%,$28.00,$0.00,$28.00
,Choux A La Creme,$20.40,$20.40,6,0," "," ",-,$0.00,$0.00,2.78%,$3.40,$0.00,$20.40
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Lavande Latte,$9.60,$9.60,2,0," "," ",-,$0.00,$0.00,1.31%,$4.80,$0.00,$9.60
,," "," "," "," ",Only Oat - Avoine seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Plus 1 sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Gâteau au citron,$9.90,$9.24,3,0," "," ",-,-$0.66,$0.00,1.26%,$3.08,$0.00,$9.24
,Gateau aux pommes,$8.60,$8.60,2,0," "," ",-,$0.00,$0.00,1.17%,$4.30,$0.00,$8.60
,Profiterole petite,$7.75,$7.75,1,0," "," ",-,$0.00,$0.00,1.06%,$7.75,$0.00,$7.75
,," "," "," "," ",Chocolat,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pastry Cream - Crème patisserie,1,$7.25," "," "," "," "," "," "
,," "," "," "," ",Yuzu,1,$0.50," "," "," "," "," "," "
,Betterave Latte,$4.80,$4.80,1,0," "," ",-,$0.00,$0.00,0.65%,$4.80,$0.00,$4.80
,," "," "," "," ",Only Lactose Free - Sans lactose seulement,1,$0.10," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,Mosaic au Chocolat,$3.00,$3.00,1,0," "," ",-,$0.00,$0.00,0.41%,$3.00,$0.00,$3.00
Total (Uncategorized),,$234.30,$231.94,34,0,-,19,$8.05,-$2.36,$0.00,31.61%,$6.82,$0.00,$161.44

Desserts
,Cinnamon bun,$63.75,$63.75,15,0," "," ",-,$0.00,$0.00,8.69%,$4.25,$0.00,$63.75
,," "," "," "," ",Dine In,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,7,$0.00," "," "," "," "," "," "
,Biscuit,$38.25,$36.55,9,0," "," ",-,-$1.70,$0.00,4.98%,$4.06,$0.00,$36.55
,Muffin,$9.75,$9.75,3,0," "," ",-,$0.00,$0.00,1.33%,$3.25,$0.00,$9.75
Total (Desserts),,$111.75,$110.05,27,0,-,15,$0.00,-$1.70,$0.00,15.00%,$4.08,$0.00,$110.05

Sans Café - Without Coffee
,Matcha Latte,$52.35,$52.35,11,0," "," ",-,$0.00,$0.00,7.14%,$4.76,$0.00,$52.35
,," "," "," "," ",Only Coconut - Noix de coco seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Oat - Avoine seulement,4,$0.80," "," "," "," "," "," "
,," "," "," "," ",Only Almond - Amande seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Plus 1 sucre,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,4,$0.00," "," "," "," "," "," "
,Hot Chocolate - Chocolat Chaud,$13.05,$12.18,3,0," "," ",-,-$0.87,$0.00,1.66%,$4.06,$0.00,$12.18
,," "," "," "," ",Regular milk - Lait régulière,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Plus 1 sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Thé de montagne,$9.75,$9.75,3,0," "," ",-,$0.00,$0.00,1.33%,$3.25,$0.00,$9.75
,," "," "," "," ",Sans sucre,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
Total (Sans Café - Without Coffee),,$75.15,$74.28,17,0,-,48,$1.20,-$0.87,$0.00,10.12%,$4.37,$0.00,$74.28

Coffee Cold - Café Froid
,Freddo Latte,$18.55,$18.55,4,0," "," ",-,$0.00,$0.00,2.53%,$4.64,$0.00,$18.55
,," "," "," "," ",Oat - Avoine,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Lactose free - Sans lactose,1,$0.35," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Brazil - Single Origin,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",1 sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Freddo Cappuccino,$8.50,$7.65,2,0," "," ",-,-$0.85,$0.00,1.04%,$3.83,$0.00,$7.65
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",1 sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,Cold Brew,$4.20,$4.20,1,0," "," ",-,$0.00,$0.00,0.57%,$4.20,$0.00,$4.20
,," "," "," "," ",Sans sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
