Items Report
"Oct 16, 2023 12:00 AM - Oct 16, 2023 11:59 PM"
"Requested on: Dec 11, 2024 12:35 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,$555.45
Net Sales,$553.98
COGS,$0.00
Gross Profit,$553.98
Gross Profit Margin,100%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Cappuccino,$64.80,$64.80,14,0," "," ",-,$0.00,$0.00,11.70%,$4.63,$0.00,$64.80
,," "," "," "," ",Oat - Avoine,5,$2.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Brazil - Single Origin,6,$4.20," "," "," "," "," "," "
,," "," "," "," ",Maison,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,8,$0.00," "," "," "," "," "," "
,Latte,$53.80,$53.80,12,0," "," ",-,$0.00,$0.00,9.71%,$4.48,$0.00,$53.80
,," "," "," "," ",Oat - Avoine,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Brazil - Single Origin,4,$2.80," "," "," "," "," "," "
,," "," "," "," ",Maison,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Espresso,$35.20,$34.58,10,0," "," ",-,-$0.62,$0.00,6.24%,$3.46,$0.00,$34.58
,," "," "," "," ",Brazil - Single Origin,6,$4.20," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Cortado,$27.80,$27.80,7,0," "," ",-,$0.00,$0.00,5.02%,$3.97,$0.00,$27.80
,," "," "," "," ",Oat - Avoine,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Brazil - Single Origin,2,$1.40," "," "," "," "," "," "
,," "," "," "," ",Maison,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Flat White,$26.50,$26.50,6,0," "," ",-,$0.00,$0.00,4.78%,$4.42,$0.00,$26.50
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Coconut - Noix de coco,1,$0.60," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Brazil - Single Origin,2,$1.40," "," "," "," "," "," "
,," "," "," "," ",Maison,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Long Black,$17.90,$17.90,5,0," "," ",-,$0.00,$0.00,3.23%,$3.58,$0.00,$17.90
,," "," "," "," ",Brazil - Single Origin,2,$1.40," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$13.00,$13.00,3,0," "," ",-,$0.00,$0.00,2.35%,$4.33,$0.00,$13.00
,," "," "," "," ",Aleto Wendo Sweet,1,$4.00," "," "," "," "," "," "
,," "," "," "," ",Colorfull,2,$9.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Mocha Latte,$10.30,$10.30,2,0," "," ",-,$0.00,$0.00,1.86%,$5.15,$0.00,$10.30
,," "," "," "," ",Oat - Avoine,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulière,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Americano,$7.30,$7.30,2,0," "," ",-,$0.00,$0.00,1.32%,$3.65,$0.00,$7.30
,," "," "," "," ",Brazil - Single Origin,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
Total (Coffee Hot - Café Chaud),,$256.60,$255.98,61,0,-,165,$36.10,-$0.62,$0.00,46.21%,$4.20,$0.00,$255.98

Uncategorized
,Dejeuner Sandwich,$68.00,$68.00,8,0," "," ",-,$0.00,$0.00,12.27%,$8.50,$0.00,$68.00
,Gâteau au citron,$32.30,$32.30,7,0," "," ",-,$0.00,$0.00,5.83%,$4.61,$0.00,$32.30
,," "," "," "," ",Deluxe,4,$9.20," "," "," "," "," "," "
,Choux A La Creme,$13.60,$13.60,4,0," "," ",-,$0.00,$0.00,2.45%,$3.40,$0.00,$13.60
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Toast Betterave,$12.25,$12.25,1,0," "," ",-,$0.00,$0.00,2.21%,$12.25,$0.00,$12.25
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,Lavande Latte,$9.60,$9.60,2,0," "," ",-,$0.00,$0.00,1.73%,$4.80,$0.00,$9.60
,," "," "," "," ",Only Almond - Amande seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Mosaic au Chocolat,$9.00,$9.00,3,0," "," ",-,$0.00,$0.00,1.62%,$3.00,$0.00,$9.00
,Profiterole petite,$9.00,$9.00,1,0," "," ",-,$0.00,$0.00,1.62%,$9.00,$0.00,$9.00
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Chocolat,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ice Cream - Crème glaceé,1,$9.00," "," "," "," "," "," "
,Gateau aux pommes,$4.30,$4.30,1,0," "," ",-,$0.00,$0.00,0.78%,$4.30,$0.00,$4.30
Total (Uncategorized),,$158.05,$158.05,27,0,-,17,$18.40,$0.00,$0.00,28.53%,$5.85,$0.00,$158.05

Sans Café - Without Coffee
,Matcha Latte,$53.20,$53.20,11,0," "," ",-,$0.00,$0.00,9.60%,$4.84,$0.00,$53.20
,," "," "," "," ",Only Oat - Avoine seulement,6,$1.20," "," "," "," "," "," "
,," "," "," "," ",Only Almond - Amande seulement,1,$0.20," "," "," "," "," "," "
