Items Report
"Oct 12, 2024 12:00 AM - Oct 12, 2024 11:59 PM"
"Requested on: Dec 11, 2024 2:02 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$2,033.10"
Net Sales,"$2,027.46"
COGS,$0.00
Gross Profit,"$2,022.21"
Gross Profit Margin,99.74%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Latte,$254.70,$253.42,54,0," "," ",-,-$1.28,$0.00,12.50%,$4.69,$0.00,$253.42
,," "," "," "," ",Oat - Avoine,15,$7.50," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,35,$0.00," "," "," "," "," "," "
,," "," "," "," ",Soy,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Espresso du jour,3,$3.00," "," "," "," "," "," "
,," "," "," "," ",Maison,42,$0.00," "," "," "," "," "," "
,," "," "," "," ",Xtra House Espresso,4,$6.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,5,$2.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,30,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,24,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,3,$1.50," "," "," "," "," "," "
,Latte Citrouille,$169.30,$168.35,28,0," "," ",-,-$0.95,$0.00,8.30%,$6.01,$0.00,$168.35
,," "," "," "," ",Oat - Avoine,9,$4.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,18,$0.00," "," "," "," "," "," "
,," "," "," "," ",Soy,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Maison,27,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,12,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,16,$0.00," "," "," "," "," "," "
,Cappuccino,$90.00,$90.00,20,0," "," ",-,$0.00,$0.00,4.44%,$4.50,$0.00,$90.00
,," "," "," "," ",Oat - Avoine,5,$2.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,15,$0.00," "," "," "," "," "," "
,," "," "," "," ",Espresso du jour,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,18,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,9,$0.00," "," "," "," "," "," "
,Flat White,$80.00,$79.00,18,0," "," ",-,-$1.00,$0.00,3.90%,$4.39,$0.00,$79.00
,," "," "," "," ",Oat - Avoine,5,$2.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Espresso du jour,4,$4.00," "," "," "," "," "," "
,," "," "," "," ",Maison,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,10,$0.00," "," "," "," "," "," "
,Cortado,$70.45,$69.80,17,0," "," ",-,-$0.65,$0.00,3.44%,$4.11,$0.00,$69.80
,," "," "," "," ",Oat - Avoine,8,$4.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Espresso du jour,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,16,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,7,$0.00," "," "," "," "," "," "
,Americano,$52.75,$52.75,15,0," "," ",-,$0.00,$0.00,2.60%,$3.52,$0.00,$52.75
,," "," "," "," ",Maison,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,14,$0.00," "," "," "," "," "," "
,," "," "," "," ",Creme,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,7,$0.00," "," "," "," "," "," "
,Espresso,$43.10,$42.60,12,0," "," ",-,-$0.50,$0.00,2.10%,$3.55,$0.00,$42.60
,," "," "," "," ",Espresso du jour,3,$3.00," "," "," "," "," "," "
,," "," "," "," ",Maison,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Long Black,$38.90,$38.90,11,0," "," ",-,$0.00,$0.00,1.92%,$3.54,$0.00,$38.90
,," "," "," "," ",Espresso du jour,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,6,$0.00," "," "," "," "," "," "
,Mocha,$36.00,$36.00,7,0," "," ",-,$0.00,$0.00,1.78%,$5.14,$0.00,$36.00
,," "," "," "," ",Oat - Avoine,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$17.25,$17.25,3,0," "," ",-,$0.00,$0.00,0.85%,$5.75,$0.00,$17.25
,," "," "," "," ",Hot - Chaud,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Kenya Duck Rabbit,1,$5.00," "," "," "," "," "," "
,," "," "," "," ",Giraldo Lopez,1,$4.25," "," "," "," "," "," "
,," "," "," "," ",Monogram Finca,1,$8.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
Total (Coffee Hot - Café Chaud),,$852.45,$848.07,185,0,-,542,$69.25,-$4.38,$0.00,41.83%,$4.58,$0.00,$848.07

Menu Spécial
,Dejeuner,$161.00,$161.00,14,0," "," ",-,$0.00,$0.00,7.94%,$11.50,$0.00,$161.00
,Poulet,$98.00,$98.00,7,0," "," ",-,$0.00,$0.00,4.83%,$14.00,$0.00,$98.00
,Méditerranée,$84.00,$84.00,7,0," "," ",-,$0.00,$0.00,4.14%,$12.00,$0.00,$84.00
,Avocat,$78.00,$78.00,6,0," "," ",-,$0.00,$0.00,3.85%,$13.00,$0.00,$78.00
,La Terre,$48.00,$48.00,4,0," "," ",-,$0.00,$0.00,2.37%,$12.00,$0.00,$48.00
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,Carbonara,$27.00,$27.00,2,0," "," ",-,$0.00,$0.00,1.33%,$13.50,$0.00,$27.00
,Chia Pudding,$18.00,$18.00,2,0," "," ",-,$0.00,$0.00,0.89%,$9.00,$0.00,$18.00
Total (Menu Spécial),,$514.00,$514.00,42,0,-,4,$0.00,$0.00,$0.00,25.35%,$12.24,$0.00,$514.00

Desserts
,Brioche Cannele,$76.50,$76.50,18,0," "," ",-,$0.00,$0.00,3.77%,$4.25,$0.00,$76.50
,," "," "," "," ",Dine In,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Biscuit,$59.50,$59.50,14,0," "," ",-,$0.00,$0.00,2.93%,$4.25,$0.00,$59.50
,Apple Maple Bun,$51.70,$51.70,11,0," "," ",-,$0.00,$0.00,2.55%,$4.70,$0.00,$51.70
,Oat Spice Cookie,$42.50,$42.50,10,0," "," ",-,$0.00,$0.00,2.10%,$4.25,$0.00,$42.50
,Carrot Cake,$42.30,$42.30,9,0," "," ",-,$0.00,$0.00,2.09%,$4.70,$0.00,$42.30
,Muffin,$22.75,$22.75,7,0," "," ",-,$0.00,$0.00,1.12%,$3.25,$0.00,$22.75
