Items Report
"Sep 13, 2024 12:00 AM - Sep 13, 2024 11:59 PM"
"Requested on: Dec 11, 2024 1:57 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$1,333.75"
Net Sales,"$1,333.03"
COGS,$0.00
Gross Profit,"$1,332.53"
Gross Profit Margin,99.96%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Coffee Hot - Café Chaud
,Latte,$143.80,$143.80,31,0," "," ",-,$0.00,$0.00,10.79%,$4.64,$0.00,$143.80
,," "," "," "," ",Oat - Avoine,9,$4.50," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,20,$0.00," "," "," "," "," "," "
,," "," "," "," ",Soy,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Espresso du jour,3,$3.00," "," "," "," "," "," "
,," "," "," "," ",Maison,26,$0.00," "," "," "," "," "," "
,," "," "," "," ",Xtra House Espresso,1,$1.50," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,14,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,17,$0.00," "," "," "," "," "," "
,Cappuccino,$75.60,$74.88,17,0," "," ",-,-$0.72,$0.00,5.62%,$4.40,$0.00,$74.88
,," "," "," "," ",Oat - Avoine,3,$1.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,14,$0.00," "," "," "," "," "," "
,," "," "," "," ",Espresso du jour,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,16,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,6,$0.00," "," "," "," "," "," "
,Flat White,$71.50,$71.50,16,0," "," ",-,$0.00,$0.00,5.36%,$4.47,$0.00,$71.50
,," "," "," "," ",Oat - Avoine,5,$2.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Espresso du jour,4,$4.00," "," "," "," "," "," "
,," "," "," "," ",Maison,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,5,$0.00," "," "," "," "," "," "
,Espresso,$33.20,$33.20,9,0," "," ",-,$0.00,$0.00,2.49%,$3.69,$0.00,$33.20
,," "," "," "," ",Espresso du jour,3,$3.00," "," "," "," "," "," "
,," "," "," "," ",Maison,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Pour-over Filtre,$28.65,$28.65,6,0," "," ",-,$0.00,$0.00,2.15%,$4.78,$0.00,$28.65
,," "," "," "," ",Hot - Chaud,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Monogram Bolivie,3,$15.90," "," "," "," "," "," "
,," "," "," "," ",September Keramo,3,$12.75," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Cortado,$24.60,$24.60,6,0," "," ",-,$0.00,$0.00,1.85%,$4.10,$0.00,$24.60
,," "," "," "," ",Almond - Amande,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Espresso du jour,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Americano,$17.25,$17.25,5,0," "," ",-,$0.00,$0.00,1.29%,$3.45,$0.00,$17.25
,," "," "," "," ",Maison,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Long Black,$11.70,$11.70,3,0," "," ",-,$0.00,$0.00,0.88%,$3.90,$0.00,$11.70
,," "," "," "," ",Espresso du jour,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Mocha,$5.50,$5.50,1,0," "," ",-,$0.00,$0.00,0.41%,$5.50,$0.00,$5.50
,," "," "," "," ",Soy,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
Total (Coffee Hot - Café Chaud),,$411.80,$411.08,94,0,-,271,$56.15,-$0.72,$0.00,30.84%,$4.37,$0.00,$411.08

Uncategorized
,September Kenya,$112.00,$112.00,4,0," "," ",-,$0.00,$0.00,8.40%,$28.00,$0.00,$112.00
,Colorfull Melon,$55.00,$55.00,2,0," "," ",-,$0.00,$0.00,4.13%,$27.50,$0.00,$55.00
,September Segundo,$52.00,$52.00,2,0," "," ",-,$0.00,$0.00,3.90%,$26.00,$0.00,$52.00
,Biscuit Au Caramel,$27.60,$27.60,6,0," "," ",-,$0.00,$0.00,2.07%,$4.60,$0.00,$27.60
,Gâteau au citron,$23.10,$23.10,7,0," "," ",-,$0.00,$0.00,1.73%,$3.30,$0.00,$23.10
,Brioche Citron Noir,$12.75,$12.75,3,0," "," ",-,$0.00,$0.00,0.96%,$4.25,$0.00,$12.75
,Article personnalisé,$0.50,$0.50,1,0," "," ",-,$0.00,$0.00,0.04%,$0.50,-,-
Total (Uncategorized),,$282.95,$282.95,25,0,-," ",$0.00,$0.00,$0.00,21.23%,$11.32,$0.00,$282.45

Sans Café - Without Coffee
,Matcha Latte,$85.70,$85.70,17,0," "," ",-,$0.00,$0.00,6.43%,$5.04,$0.00,$85.70
,," "," "," "," ",Only Coconut - Noix de coco seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Oat - Avoine seulement,9,$1.80," "," "," "," "," "," "
,," "," "," "," ",Only Almond - Amande seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Only Soy,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",1/2 sucre,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",2 sucres,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,11,$0.00," "," "," "," "," "," "
,Limonade,$40.00,$40.00,8,0," "," ",-,$0.00,$0.00,3.00%,$5.00,$0.00,$40.00
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Earl Grey,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hibiscus,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans The,4,$0.00," "," "," "," "," "," "
,Matcha Cloud,$36.00,$36.00,6,0," "," ",-,$0.00,$0.00,2.70%,$6.00,$0.00,$36.00
,," "," "," "," ",Dine In,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,3,$0.00," "," "," "," "," "," "
,Thé Glacé,$21.00,$21.00,5,0," "," ",-,$0.00,$0.00,1.58%,$4.20,$0.00,$21.00
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hibiscus,5,$0.00," "," "," "," "," "," "
,Chai Latte,$19.80,$19.80,4,0," "," ",-,$0.00,$0.00,1.49%,$4.95,$0.00,$19.80
,," "," "," "," ",Only Almond - Amande seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot - Chaud,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cold - Froid,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,Earl Grey,$4.10,$4.10,1,0," "," ",-,$0.00,$0.00,0.31%,$4.10,$0.00,$4.10
,," "," "," "," ",Hot - Chaud,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
Total (Sans Café - Without Coffee),,$206.60,$206.60,41,0,-,119,$2.60,$0.00,$0.00,15.50%,$5.04,$0.00,$206.60

Coffee Cold - Café Froid
,Freddo Latte,$138.10,$138.10,28,0," "," ",-,$0.00,$0.00,10.36%,$4.93,$0.00,$138.10
,," "," "," "," ",Oat - Avoine,11,$5.50," "," "," "," "," "," "
,," "," "," "," ",Almond - Amande,1,$0.50," "," "," "," "," "," "
,," "," "," "," ",Coconut - Noix de coco,2,$1.20," "," "," "," "," "," "
,," "," "," "," ",Macadamia,1,$0.70," "," "," "," "," "," "
,," "," "," "," ",Regular milk - Lait régulier,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,24,$0.00," "," "," "," "," "," "
,," "," "," "," ",Xtra House Espresso,2,$3.00," "," "," "," "," "," "
,," "," "," "," ",Decaf,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,25,$0.00," "," "," "," "," "," "
,," "," "," "," ",1/2 sucre,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",1 sucre,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,14,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,14,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,6,$3.00," "," "," "," "," "," "
,Freddo Cappuccino,$22.50,$22.50,5,0," "," ",-,$0.00,$0.00,1.69%,$4.50,$0.00,$22.50
,," "," "," "," ",Maison,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Vanilla Sirop,1,$0.50," "," "," "," "," "," "
,Cold Brew,$20.20,$20.20,4,0," "," ",-,$0.00,$0.00,1.52%,$5.05,$0.00,$20.20
,," "," "," "," ",Only Coconut - Noix de coco seulement,1,$0.20," "," "," "," "," "," "
,," "," "," "," ",Only Regular Milk - Lait regulier seulement,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,2,$0.00," "," "," "," "," "," "
,Iced Americano,$12.60,$12.60,3,0," "," ",-,$0.00,$0.00,0.95%,$4.20,$0.00,$12.60
,," "," "," "," ",Lait Regulier,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans lait,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Maison,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sans sucre,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Dine In,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
Total (Coffee Cold - Café Froid),,$193.40,$193.40,40,0,-,156,$15.60,$0.00,$0.00,14.51%,$4.84,$0.00,$193.40

Menu Spécial
,La Terre,$48.00,$48.00,4,0," "," ",-,$0.00,$0.00,3.60%,$12.00,$0.00,$48.00
,," "," "," "," ",Dine In,4,$0.00," "," "," "," "," "," "
,Avocat,$39.00,$39.00,3,0," "," ",-,$0.00,$0.00,2.93%,$13.00,$0.00,$39.00
,Chia Pudding,$27.00,$27.00,3,0," "," ",-,$0.00,$0.00,2.03%,$9.00,$0.00,$27.00
,Méditerranée,$24.00,$24.00,2,0," "," ",-,$0.00,$0.00,1.80%,$12.00,$0.00,$24.00
,Dejeuner,$23.00,$23.00,2,0," "," ",-,$0.00,$0.00,1.73%,$11.50,$0.00,$23.00
,Poulet,$14.00,$14.00,1,0," "," ",-,$0.00,$0.00,1.05%,$14.00,$0.00,$14.00
Total (Menu Spécial),,$175.00,$175.00,15,0,-,4,$0.00,$0.00,$0.00,13.13%,$11.67,$0.00,$175.00

Desserts
,Biscuit,$25.50,$25.50,6,0," "," ",-,$0.00,$0.00,1.91%,$4.25,$0.00,$25.50
,Brioche Cannele,$25.50,$25.50,6,0," "," ",-,$0.00,$0.00,1.91%,$4.25,$0.00,$25.50
,," "," "," "," ",Dine In,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Take Out,1,$0.00," "," "," "," "," "," "
,Muffin,$13.00,$13.00,4,0," "," ",-,$0.00,$0.00,0.98%,$3.25,$0.00,$13.00
Total (Desserts),,$64.00,$64.00,16,0,-,6,$0.00,$0.00,$0.00,4.80%,$4.00,$0.00,$64.00

TOTAL,,"$1,333.75","$1,333.03",231,0,-," ",$74.35,-$0.72,$0.00,100%,$5.77,$0.00,"$1,332.53"
