Sales Report
"Apr 1, 2024 12:00 AM - Apr 30, 2024 11:59 PM"
"Requested on: Nov 21, 2024 6:02 PM"
Filters: none

Gross Sales,"$30,329.85"
Net Sales,"$30,261.28"
Amount Collected,"$38,827.38"
Orders,3630

"Apr 1, 2024 - Apr 30, 2024","Mon, Apr 1","Tue, Apr 2","Wed, Apr 3","Thu, Apr 4","Fri, Apr 5","Sat, Apr 6","Sun, Apr 7","Mon, Apr 8","Tue, Apr 9","Wed, Apr 10","Thu, Apr 11","Fri, Apr 12","Sat, Apr 13","Sun, Apr 14","Mon, Apr 15","Tue, Apr 16","Wed, Apr 17","Thu, Apr 18","Fri, Apr 19","Sat, Apr 20","Sun, Apr 21","Mon, Apr 22","Tue, Apr 23","Wed, Apr 24","Thu, Apr 25","Fri, Apr 26","Sat, Apr 27","Sun, Apr 28","Mon, Apr 29","Tue, Apr 30",Total
Gross Sales,"$1,061.95",$852.65,$717.60,$795.65,$910.95,"$1,477.95","$1,209.20",$954.45,$750.35,"$1,021.95",$762.85,"$1,089.05","$1,422.30","$1,399.10",$890.20,$833.80,$878.35,$817.35,$948.15,"$1,717.55","$1,414.45",$695.80,$801.25,$819.35,$735.80,$986.20,"$1,183.60","$1,293.80",$954.50,$933.70,"$30,329.85"
Discounts,$0.00,-$5.11,-$0.48,-$0.43,$0.00,$0.00,-$6.36,-$3.16,-$2.09,-$3.93,-$1.80,-$0.66,-$0.80,-$8.83,-$0.53,-$2.35,-$3.21,-$0.65,$0.00,-$0.90,-$14.04,$0.00,-$3.10,-$0.40,-$0.97,$0.00,-$4.50,-$1.86,-$1.98,-$0.43,-$68.57
Refunds,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Net Sales,"$1,061.95",$847.54,$717.12,$795.22,$910.95,"$1,477.95","$1,202.84",$951.29,$748.26,"$1,018.02",$761.05,"$1,088.39","$1,421.50","$1,390.27",$889.67,$831.45,$875.14,$816.70,$948.15,"$1,716.65","$1,400.41",$695.80,$798.15,$818.95,$734.83,$986.20,"$1,179.10","$1,291.94",$952.52,$933.27,"$30,261.28"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Taxes & Fees,$159.33,$119.15,$103.67,$111.43,$132.62,$196.15,$176.26,$131.15,$108.50,$135.35,$114.21,$136.49,$201.52,$205.06,$125.64,$115.43,$121.91,$114.69,$142.22,$253.49,$194.20,$100.46,$119.73,$119.38,$106.73,$144.43,$164.38,$185.24,$121.66,$127.01,"$4,287.49"
Tips,$152.78,$125.98,$100.26,$114.57,$142.35,$184.39,$168.83,$144.15,$108.66,$126.74,$119.35,$136.93,$202.41,$196.93,$133.33,$110.14,$121.18,$110.76,$134.09,$256.01,$186.67,$108.41,$116.74,$121.13,$110.65,$152.17,$163.45,$180.35,$125.61,$123.59,"$4,278.61"
Amount Collected,"$1,374.06","$1,092.67",$921.05,"$1,021.22","$1,185.92","$1,858.49","$1,547.93","$1,226.59",$965.42,"$1,280.11",$994.61,"$1,361.81","$1,825.43","$1,792.26","$1,148.64","$1,057.02","$1,118.23","$1,042.15","$1,224.46","$2,226.15","$1,781.28",$904.67,"$1,034.62","$1,059.46",$952.21,"$1,282.80","$1,506.93","$1,657.53","$1,199.79","$1,183.87","$38,827.38"

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$36,408.08"
Cash,"$2,419.30"
Amount Collected,"$38,827.38"
