Sales Report
"Aug 1, 2024 12:00 AM - Aug 31, 2024 11:59 PM"
"Requested on: Nov 21, 2024 6:04 PM"
Filters: none

Gross Sales,"$49,030.48"
Net Sales,"$48,912.23"
Amount Collected,"$62,413.19"
Orders,5506

"Aug 1, 2024 - Aug 31, 2024","Thu, Aug 1","Fri, Aug 2","Sat, Aug 3","Sun, Aug 4","Mon, Aug 5","Tue, Aug 6","Wed, Aug 7","Thu, Aug 8","Fri, Aug 9","Sat, Aug 10","Sun, Aug 11","Mon, Aug 12","Tue, Aug 13","Wed, Aug 14","Thu, Aug 15","Fri, Aug 16","Sat, Aug 17","Sun, Aug 18","Mon, Aug 19","Tue, Aug 20","Wed, Aug 21","Thu, Aug 22","Fri, Aug 23","Sat, Aug 24","Sun, Aug 25","Mon, Aug 26","Tue, Aug 27","Wed, Aug 28","Thu, Aug 29","Fri, Aug 30","Sat, Aug 31",Total
Gross Sales,"$1,262.80","$1,364.85","$2,202.70","$2,216.80","$1,768.95","$1,090.90","$1,571.00","$1,399.60","$1,073.50","$2,199.00","$2,176.95","$1,385.75","$1,605.70","$1,251.55","$1,481.80","$1,570.05","$1,985.45","$2,222.00","$1,190.70","$1,426.00","$1,032.50","$1,122.30","$1,596.70","$2,233.80","$1,923.25","$1,463.28","$1,433.85","$1,127.15","$1,445.40","$1,506.70","$1,699.50","$49,030.48"
Discounts,-$3.63,$0.00,-$0.81,-$5.83,-$1.57,-$0.53,-$1.31,-$2.30,-$1.41,-$3.13,-$10.03,-$1.86,-$0.33,-$1.28,-$2.93,-$5.40,$0.00,-$7.77,-$3.09,$0.00,-$0.51,-$4.48,-$1.35,-$2.45,-$15.90,-$0.63,-$3.69,-$1.40,-$0.75,$0.00,-$3.24,-$87.61
Refunds,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$5.64,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$25.00,-$30.64
Net Sales,"$1,259.17","$1,364.85","$2,201.89","$2,210.97","$1,767.38","$1,090.37","$1,569.69","$1,397.30","$1,066.45","$2,195.87","$2,166.92","$1,383.89","$1,605.37","$1,250.27","$1,478.87","$1,564.65","$1,985.45","$2,214.23","$1,187.61","$1,426.00","$1,031.99","$1,117.82","$1,595.35","$2,231.35","$1,907.35","$1,462.65","$1,430.16","$1,125.75","$1,444.65","$1,506.70","$1,671.26","$48,912.23"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Taxes & Fees,$156.18,$196.35,$326.12,$319.28,$248.52,$155.57,$219.18,$201.63,$156.22,$321.30,$307.81,$203.63,$236.88,$187.58,$217.66,$226.87,$268.44,$308.19,$157.66,$209.96,$150.95,$163.60,$235.09,$301.03,$286.18,$211.31,$206.25,$164.32,$196.41,$221.96,$211.53,"$6,973.66"
Tips,$154.98,$188.02,$276.93,$286.82,$217.15,$141.58,$208.54,$180.79,$144.82,$296.61,$310.65,$198.12,$214.32,$174.53,$203.79,$203.19,$252.40,$271.33,$151.40,$204.87,$163.24,$170.52,$228.98,$289.29,$259.01,$190.97,$183.06,$156.02,$193.26,$220.52,$191.59,"$6,527.30"
Amount Collected,"$1,570.33","$1,749.22","$2,804.94","$2,817.07","$2,233.05","$1,387.52","$1,997.41","$1,779.72","$1,367.49","$2,813.78","$2,785.38","$1,785.64","$2,056.57","$1,612.38","$1,900.32","$1,994.71","$2,506.29","$2,793.75","$1,496.67","$1,840.83","$1,346.18","$1,451.94","$2,059.42","$2,821.67","$2,452.54","$1,864.93","$1,819.47","$1,446.09","$1,834.32","$1,949.18","$2,074.38","$62,413.19"

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$58,590.40"
Cash,"$3,822.79"
Amount Collected,"$62,413.19"
