Sales Report
"Dec 1, 2023 12:00 AM - Dec 31, 2023 11:59 PM"
"Requested on: Nov 21, 2024 6:01 PM"
Filters: none

Gross Sales,"$26,856.95"
Net Sales,"$26,729.59"
Amount Collected,"$34,061.98"
Orders,2812

"Dec 1, 2023 - Dec 31, 2023","Fri, Dec 1","Sat, Dec 2","Sun, Dec 3","Mon, Dec 4","Tue, Dec 5","Wed, Dec 6","Thu, Dec 7","Fri, Dec 8","Sat, Dec 9","Sun, Dec 10","Mon, Dec 11","Tue, Dec 12","Wed, Dec 13","Thu, Dec 14","Fri, Dec 15","Sat, Dec 16","Sun, Dec 17","Mon, Dec 18","Tue, Dec 19","Wed, Dec 20","Thu, Dec 21","Fri, Dec 22","Sat, Dec 23","Sun, Dec 24","Mon, Dec 25","Tue, Dec 26","Wed, Dec 27","Thu, Dec 28","Fri, Dec 29","Sat, Dec 30","Sun, Dec 31",Total
Gross Sales,$953.25,$998.75,"$1,143.05",$721.05,$789.50,$815.40,$749.45,$696.90,"$1,113.25","$1,146.80",$617.45,$614.45,$778.15,$797.95,$714.70,"$1,943.30","$1,026.75",$633.50,$669.60,$630.15,"$1,259.60","$1,200.65",$706.85,$880.50,$0.00,$0.00,$896.45,"$1,070.15","$1,056.20","$1,114.40","$1,118.75","$26,856.95"
Discounts,-$1.90,$0.00,$0.00,-$8.43,-$0.43,-$0.43,$0.00,$0.00,-$3.06,$0.00,-$2.64,$0.00,-$2.90,-$0.96,-$4.28,-$10.82,$0.00,-$2.87,$0.00,-$0.44,-$8.64,-$0.44,-$0.75,$0.00,$0.00,$0.00,$0.00,$0.00,-$0.93,$0.00,$0.00,-$49.92
Refunds,-$28.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$49.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$77.44
Net Sales,$923.35,$998.75,"$1,143.05",$712.62,$789.07,$814.97,$749.45,$696.90,"$1,110.19","$1,097.36",$614.81,$614.45,$775.25,$796.99,$710.42,"$1,932.48","$1,026.75",$630.63,$669.60,$629.71,"$1,250.96","$1,200.21",$706.10,$880.50,$0.00,$0.00,$896.45,"$1,070.15","$1,055.27","$1,114.40","$1,118.75","$26,729.59"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Taxes & Fees,$133.65,$146.27,$157.67,$102.68,$101.53,$110.28,$96.95,$104.50,$146.08,$157.73,$92.24,$91.64,$100.71,$111.78,$106.63,$236.41,$141.31,$90.36,$88.50,$86.66,$158.73,$163.39,$92.96,$123.63,$0.00,$0.00,$121.79,$160.48,$158.20,$167.13,$159.83,"$3,709.72"
Tips,$138.50,$155.77,$129.87,$96.85,$103.50,$111.71,$87.66,$100.79,$147.01,$145.49,$82.97,$89.93,$86.30,$122.22,$103.18,$259.79,$134.35,$89.04,$78.96,$89.20,$141.65,$176.78,$103.07,$103.07,$0.00,$0.00,$122.36,$151.60,$159.55,$154.26,$157.24,"$3,622.67"
Amount Collected,"$1,195.50","$1,300.79","$1,430.59",$912.15,$994.10,"$1,036.96",$934.06,$902.19,"$1,403.28","$1,400.58",$790.02,$796.02,$962.26,"$1,030.99",$920.23,"$2,428.68","$1,302.41",$810.03,$837.06,$805.57,"$1,551.34","$1,540.38",$902.13,"$1,107.20",$0.00,$0.00,"$1,140.60","$1,382.23","$1,373.02","$1,435.79","$1,435.82","$34,061.98"

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$32,031.80"
Cash,"$2,030.18"
Amount Collected,"$34,061.98"
