Sales Report
"Feb 1, 2024 12:00 AM - Feb 29, 2024 11:59 PM"
"Requested on: Nov 21, 2024 6:01 PM"
Filters: none

Gross Sales,"$25,249.15"
Net Sales,"$25,181.74"
Amount Collected,"$32,098.36"
Orders,2950

"Feb 1, 2024 - Feb 29, 2024","Thu, Feb 1","Fri, Feb 2","Sat, Feb 3","Sun, Feb 4","Mon, Feb 5","Tue, Feb 6","Wed, Feb 7","Thu, Feb 8","Fri, Feb 9","Sat, Feb 10","Sun, Feb 11","Mon, Feb 12","Tue, Feb 13","Wed, Feb 14","Thu, Feb 15","Fri, Feb 16","Sat, Feb 17","Sun, Feb 18","Mon, Feb 19","Tue, Feb 20","Wed, Feb 21","Thu, Feb 22","Fri, Feb 23","Sat, Feb 24","Sun, Feb 25","Mon, Feb 26","Tue, Feb 27","Wed, Feb 28","Thu, Feb 29",Total
Gross Sales,$483.20,$808.50,"$1,525.10","$1,238.90",$619.45,$670.85,$722.55,$616.50,$971.25,"$1,355.75","$1,038.85",$615.35,$769.55,$867.05,$617.55,$811.90,"$1,191.20","$1,019.50",$785.50,$726.55,$661.50,$885.20,$989.50,"$1,194.55","$1,328.50",$677.40,$745.60,$746.20,$565.65,"$25,249.15"
Discounts,-$0.40,-$3.02,$0.00,-$7.03,-$1.29,-$0.48,$0.00,-$2.50,-$0.51,-$4.07,-$3.76,-$3.94,-$0.45,-$0.93,-$0.82,-$0.40,$0.00,$0.00,-$8.51,$0.00,-$0.48,-$0.83,-$0.91,-$1.37,-$3.72,$0.00,-$4.43,-$0.93,-$16.63,-$67.41
Refunds,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Net Sales,$482.80,$805.48,"$1,525.10","$1,231.87",$618.16,$670.37,$722.55,$614.00,$970.74,"$1,351.68","$1,035.09",$611.41,$769.10,$866.12,$616.73,$811.50,"$1,191.20","$1,019.50",$776.99,$726.55,$661.02,$884.37,$988.59,"$1,193.18","$1,324.78",$677.40,$741.17,$745.27,$549.02,"$25,181.74"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Other Payments,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.76
Taxes & Fees,$61.69,$104.71,$205.19,$184.75,$88.48,$97.26,$104.84,$92.10,$137.24,$194.35,$150.55,$88.14,$107.74,$111.16,$84.75,$109.76,$170.22,$137.11,$112.87,$105.39,$91.18,$113.41,$140.49,$162.90,$181.46,$97.90,$111.17,$103.64,$76.75,"$3,527.20"
Tips,$55.66,$112.15,$230.37,$165.76,$74.90,$92.28,$97.10,$86.30,$131.83,$158.21,$138.71,$84.21,$108.05,$113.11,$82.38,$112.25,$165.19,$144.60,$102.63,$95.28,$96.37,$102.24,$121.47,$161.65,$186.33,$100.82,$109.06,$97.90,$62.61,"$3,389.42"
Amount Collected,$600.15,"$1,022.34","$1,960.66","$1,582.38",$781.54,$859.91,$924.49,$792.40,"$1,239.81","$1,704.24","$1,324.35",$783.76,$984.89,"$1,090.39",$783.86,"$1,033.51","$1,526.61","$1,301.21",$992.49,$927.22,$848.57,"$1,100.02","$1,250.55","$1,517.73","$1,692.57",$876.12,$961.40,$946.81,$688.38,"$32,098.36"

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$30,016.41"
Cash,"$2,048.03"
Uber Eats,$33.92
Amount Collected,"$32,098.36"
