Sales Report
"Jan 1, 2024 12:00 AM - Jan 31, 2024 11:59 PM"
"Requested on: Nov 21, 2024 6:01 PM"
Filters: none

Gross Sales,"$23,179.50"
Net Sales,"$23,146.82"
Amount Collected,"$29,511.87"
Orders,2691

"Jan 1, 2024 - Jan 31, 2024","Mon, Jan 1","Tue, Jan 2","Wed, Jan 3","Thu, Jan 4","Fri, Jan 5","Sat, Jan 6","Sun, Jan 7","Mon, Jan 8","Tue, Jan 9","Wed, Jan 10","Thu, Jan 11","Fri, Jan 12","Sat, Jan 13","Sun, Jan 14","Mon, Jan 15","Tue, Jan 16","Wed, Jan 17","Thu, Jan 18","Fri, Jan 19","Sat, Jan 20","Sun, Jan 21","Mon, Jan 22","Tue, Jan 23","Wed, Jan 24","Thu, Jan 25","Fri, Jan 26","Sat, Jan 27","Sun, Jan 28","Mon, Jan 29","Tue, Jan 30","Wed, Jan 31",Total
Gross Sales,$0.00,$0.00,$942.15,"$1,015.25",$769.30,"$1,215.25",$985.40,$773.20,$654.35,$631.65,$697.35,$679.85,$986.75,"$1,287.75",$682.10,$529.70,$493.75,$567.20,$782.25,"$1,190.45",$984.85,$586.60,$789.75,$558.60,$594.65,$704.65,$988.60,"$1,263.40",$659.85,$617.70,$547.15,"$23,179.50"
Discounts,$0.00,$0.00,-$1.10,-$1.70,-$1.93,$0.00,-$1.95,-$0.85,-$0.48,-$3.15,-$0.43,$0.00,-$0.43,-$2.56,-$0.57,-$2.50,$0.00,-$1.08,$0.00,-$2.21,-$3.22,-$0.48,$0.00,$0.00,-$1.37,$0.00,-$0.65,-$2.62,-$1.46,-$1.94,$0.00,-$32.68
Refunds,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Net Sales,$0.00,$0.00,$941.05,"$1,013.55",$767.37,"$1,215.25",$983.45,$772.35,$653.87,$628.50,$696.92,$679.85,$986.32,"$1,285.19",$681.53,$527.20,$493.75,$566.12,$782.25,"$1,188.24",$981.63,$586.12,$789.75,$558.60,$593.28,$704.65,$987.95,"$1,260.78",$658.39,$615.76,$547.15,"$23,146.82"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Taxes & Fees,$0.00,$0.00,$120.63,$135.27,$111.25,$161.90,$135.34,$112.01,$89.75,$86.24,$92.03,$93.38,$142.93,$175.65,$98.12,$79.16,$63.90,$80.75,$108.93,$145.97,$142.98,$83.74,$95.28,$83.81,$83.90,$92.20,$143.99,$184.76,$98.72,$88.20,$76.98,"$3,207.77"
Tips,$0.00,$0.00,$105.40,$132.59,$110.81,$155.88,$138.45,$107.19,$86.59,$87.13,$77.82,$92.88,$136.53,$171.55,$98.79,$75.77,$70.76,$82.06,$112.11,$145.04,$134.18,$84.34,$101.46,$75.42,$83.35,$94.40,$130.06,$212.17,$100.23,$86.36,$67.96,"$3,157.28"
Amount Collected,$0.00,$0.00,"$1,167.08","$1,281.41",$989.43,"$1,533.03","$1,257.24",$991.55,$830.21,$801.87,$866.77,$866.11,"$1,265.78","$1,632.39",$878.44,$682.13,$628.41,$728.93,"$1,003.29","$1,479.25","$1,258.79",$754.20,$986.49,$717.83,$760.53,$891.25,"$1,262.00","$1,657.71",$857.34,$790.32,$692.09,"$29,511.87"

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$27,683.14"
Cash,"$1,828.73"
Amount Collected,"$29,511.87"
