Sales Report
"Jul 1, 2024 12:00 AM - Jul 31, 2024 11:59 PM"
"Requested on: Nov 21, 2024 6:04 PM"
Filters: none

Gross Sales,"$42,348.56"
Net Sales,"$42,243.08"
Amount Collected,"$54,210.79"
Orders,4753

"Jul 1, 2024 - Jul 31, 2024","Mon, Jul 1","Tue, Jul 2","Wed, Jul 3","Thu, Jul 4","Fri, Jul 5","Sat, Jul 6","Sun, Jul 7","Mon, Jul 8","Tue, Jul 9","Wed, Jul 10","Thu, Jul 11","Fri, Jul 12","Sat, Jul 13","Sun, Jul 14","Mon, Jul 15","Tue, Jul 16","Wed, Jul 17","Thu, Jul 18","Fri, Jul 19","Sat, Jul 20","Sun, Jul 21","Mon, Jul 22","Tue, Jul 23","Wed, Jul 24","Thu, Jul 25","Fri, Jul 26","Sat, Jul 27","Sun, Jul 28","Mon, Jul 29","Tue, Jul 30","Wed, Jul 31",Total
Gross Sales,"$1,666.25","$1,125.30","$1,195.60","$1,274.60","$1,734.90","$2,011.25","$1,671.05","$1,181.20","$1,151.75",$810.85,$986.95,"$1,390.80","$1,584.85","$1,584.75",$998.85,"$1,052.85",$919.15,"$1,003.65","$1,297.15","$1,960.35","$1,818.95","$1,163.00",$989.46,"$1,367.35","$1,386.10","$1,681.20","$2,126.35","$2,028.75",$992.35,"$1,150.35","$1,042.60","$42,348.56"
Discounts,-$1.00,-$1.99,-$8.43,-$3.51,-$0.86,-$1.35,-$9.39,-$0.88,-$0.89,$0.00,-$0.68,-$0.78,$0.00,-$5.73,-$2.34,$0.00,-$0.85,-$0.92,-$3.54,-$0.86,-$12.84,-$1.44,-$4.40,-$2.72,-$2.15,$0.00,-$0.58,-$5.26,-$6.13,-$5.00,-$0.86,-$85.38
Refunds,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$20.10,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$20.10
Net Sales,"$1,665.25","$1,123.31","$1,187.17","$1,271.09","$1,734.04","$2,009.90","$1,661.66","$1,180.32","$1,150.86",$810.85,$986.27,"$1,390.02","$1,584.85","$1,579.02",$996.51,"$1,052.85",$918.30,"$1,002.73","$1,293.61","$1,939.39","$1,806.11","$1,161.56",$985.06,"$1,364.63","$1,383.95","$1,681.20","$2,125.77","$2,023.49",$986.22,"$1,145.35","$1,041.74","$42,243.08"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Other Payments,$0.00,$0.00,$0.00,$0.00,$4.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.30,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.30
Taxes & Fees,$241.32,$168.59,$171.14,$178.60,$243.26,$289.03,$249.16,$161.74,$172.60,$121.59,$145.98,$195.02,$216.39,$219.42,$149.44,$149.85,$137.77,$145.91,$194.01,$267.30,$266.39,$161.36,$143.35,$182.79,$181.25,$235.35,$314.26,$262.65,$144.07,$171.74,$144.57,"$6,025.90"
Tips,$228.51,$168.19,$172.08,$184.13,$238.76,$248.27,$250.05,$150.54,$156.91,$121.01,$140.99,$193.91,$227.47,$214.89,$140.86,$148.52,$142.21,$147.88,$190.15,$263.54,$232.43,$153.13,$141.54,$202.58,$182.68,$245.07,$309.81,$278.18,$136.23,$173.14,$148.60,"$5,932.26"
Amount Collected,"$2,135.08","$1,460.09","$1,530.39","$1,633.82","$2,220.66","$2,547.20","$2,160.87","$1,492.60","$1,480.37","$1,053.45","$1,273.24","$1,778.95","$2,033.66","$2,013.33","$1,286.81","$1,351.22","$1,198.28","$1,296.52","$1,677.77","$2,470.23","$2,304.93","$1,476.05","$1,269.95","$1,750.00","$1,747.88","$2,161.62","$2,749.84","$2,564.32","$1,266.52","$1,490.23","$1,334.91","$54,210.79"

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$50,830.29"
Cash,"$3,380.50"
Amount Collected,"$54,210.79"
