Sales Report
"Jun 1, 2024 12:00 AM - Jun 30, 2024 11:59 PM"
"Requested on: Nov 21, 2024 6:03 PM"
Filters: none

Gross Sales,"$36,913.80"
Net Sales,"$36,832.48"
Amount Collected,"$47,131.10"
Orders,4294

"Jun 1, 2024 - Jun 30, 2024","Sat, Jun 1","Sun, Jun 2","Mon, Jun 3","Tue, Jun 4","Wed, Jun 5","Thu, Jun 6","Fri, Jun 7","Sat, Jun 8","Sun, Jun 9","Mon, Jun 10","Tue, Jun 11","Wed, Jun 12","Thu, Jun 13","Fri, Jun 14","Sat, Jun 15","Sun, Jun 16","Mon, Jun 17","Tue, Jun 18","Wed, Jun 19","Thu, Jun 20","Fri, Jun 21","Sat, Jun 22","Sun, Jun 23","Mon, Jun 24","Tue, Jun 25","Wed, Jun 26","Thu, Jun 27","Fri, Jun 28","Sat, Jun 29","Sun, Jun 30",Total
Gross Sales,"$1,092.45","$1,331.90",$964.95,$903.10,$981.50,$831.95,"$1,338.30","$1,735.40","$1,635.20","$1,078.85","$1,046.90","$1,256.05","$1,095.15","$1,236.75","$1,709.20","$1,891.55",$979.10,$918.90,"$1,109.95","$1,064.35","$1,268.80","$1,344.95","$1,235.95","$1,548.65",$989.05,"$1,157.90",$981.40,"$1,005.80","$1,537.65","$1,642.15","$36,913.80"
Discounts,$0.00,-$8.26,-$6.50,-$2.35,-$1.00,-$1.06,-$3.88,-$0.34,-$3.33,$0.00,-$2.68,-$1.69,-$2.70,-$1.27,$0.00,-$0.96,-$6.53,-$1.20,-$1.85,-$0.43,-$3.30,$0.00,-$1.09,-$0.44,-$1.11,-$0.92,-$3.48,-$2.23,-$1.32,-$1.73,-$61.65
Refunds,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$19.67,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$19.67
Net Sales,"$1,092.45","$1,323.64",$958.45,$900.75,$980.50,$830.89,"$1,334.42","$1,735.06","$1,631.87","$1,078.85","$1,044.22","$1,254.36","$1,092.45","$1,235.48","$1,709.20","$1,870.92",$972.57,$917.70,"$1,108.10","$1,063.92","$1,265.50","$1,344.95","$1,234.86","$1,548.21",$987.94,"$1,156.98",$977.92,"$1,003.57","$1,536.33","$1,640.42","$36,832.48"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Taxes & Fees,$143.40,$182.49,$140.04,$123.38,$142.96,$120.84,$180.04,$256.45,$220.79,$133.91,$148.61,$184.46,$152.33,$170.09,$256.25,$275.51,$142.77,$121.08,$149.57,$155.99,$177.01,$175.90,$176.55,$223.64,$143.84,$160.33,$142.22,$146.97,$230.28,$246.07,"$5,223.77"
Tips,$132.18,$177.59,$148.45,$117.13,$139.90,$113.10,$177.60,$248.71,$214.64,$129.13,$138.56,$170.78,$155.60,$159.38,$232.98,$262.95,$137.55,$132.11,$161.81,$177.49,$183.97,$153.28,$174.94,$207.24,$139.67,$168.08,$154.11,$144.18,$210.58,$211.16,"$5,074.85"
Amount Collected,"$1,368.03","$1,683.72","$1,246.94","$1,141.26","$1,263.36","$1,064.83","$1,692.06","$2,240.22","$2,067.30","$1,341.89","$1,331.39","$1,609.60","$1,400.38","$1,564.95","$2,198.43","$2,409.38","$1,252.89","$1,170.89","$1,419.48","$1,397.40","$1,626.48","$1,674.13","$1,586.35","$1,979.09","$1,271.45","$1,485.39","$1,274.25","$1,294.72","$1,977.19","$2,097.65","$47,131.10"

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$44,268.56"
Cash,"$2,862.54"
Amount Collected,"$47,131.10"
