Sales Report
"Mar 1, 2024 12:00 AM - Mar 31, 2024 11:59 PM"
"Requested on: Nov 21, 2024 6:02 PM"
Filters: none

Gross Sales,"$30,434.79"
Net Sales,"$30,395.07"
Amount Collected,"$38,814.62"
Orders,3376

"Mar 1, 2024 - Mar 31, 2024","Fri, Mar 1","Sat, Mar 2","Sun, Mar 3","Mon, Mar 4","Tue, Mar 5","Wed, Mar 6","Thu, Mar 7","Fri, Mar 8","Sat, Mar 9","Sun, Mar 10","Mon, Mar 11","Tue, Mar 12","Wed, Mar 13","Thu, Mar 14","Fri, Mar 15","Sat, Mar 16","Sun, Mar 17","Mon, Mar 18","Tue, Mar 19","Wed, Mar 20","Thu, Mar 21","Fri, Mar 22","Sat, Mar 23","Sun, Mar 24","Mon, Mar 25","Tue, Mar 26","Wed, Mar 27","Thu, Mar 28","Fri, Mar 29","Sat, Mar 30","Sun, Mar 31",Total
Gross Sales,$913.30,"$1,403.70","$1,311.55",$829.70,$714.80,$702.95,$963.55,$873.05,"$1,266.90","$1,103.59",$625.85,$441.55,$707.90,$818.45,$709.20,"$1,370.75","$1,390.15",$821.45,$747.95,$810.10,$682.90,"$1,058.00","$1,243.00","$1,404.90",$915.55,$913.45,$856.25,$879.50,"$1,462.65","$1,273.75","$1,218.40","$30,434.79"
Discounts,-$0.95,$0.00,-$0.65,$0.00,-$2.60,$0.00,-$1.70,-$1.00,$0.00,-$2.26,-$1.43,-$1.13,$0.00,$0.00,$0.00,-$0.90,-$0.39,$0.00,$0.00,-$5.00,-$1.81,-$2.38,$0.00,-$10.15,-$1.43,-$1.18,-$0.35,$0.00,-$4.41,$0.00,$0.00,-$39.72
Refunds,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Net Sales,$912.35,"$1,403.70","$1,310.90",$829.70,$712.20,$702.95,$961.85,$872.05,"$1,266.90","$1,101.33",$624.42,$440.42,$707.90,$818.45,$709.20,"$1,369.85","$1,389.76",$821.45,$747.95,$805.10,$681.09,"$1,055.62","$1,243.00","$1,394.75",$914.12,$912.27,$855.90,$879.50,"$1,458.24","$1,273.75","$1,218.40","$30,395.07"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Taxes & Fees,$125.40,$202.56,$192.63,$116.86,$103.13,$89.89,$144.29,$122.89,$178.14,$159.92,$93.64,$62.13,$106.26,$119.26,$97.42,$187.86,$199.26,$102.78,$103.82,$115.85,$86.62,$158.34,$182.78,$197.98,$121.41,$116.76,$128.36,$123.62,$202.88,$171.48,$167.06,"$4,281.28"
Tips,$125.18,$188.27,$193.76,$101.48,$89.12,$90.21,$145.93,$113.37,$174.40,$143.84,$79.42,$68.56,$104.05,$124.70,$100.65,$190.66,$174.61,$97.94,$113.78,$110.32,$98.18,$150.32,$172.75,$180.52,$107.16,$112.72,$115.01,$130.00,$205.56,$174.84,$160.96,"$4,138.27"
Amount Collected,"$1,162.93","$1,794.53","$1,697.29","$1,048.04",$904.45,$883.05,"$1,252.07","$1,108.31","$1,619.44","$1,405.09",$797.48,$571.11,$918.21,"$1,062.41",$907.27,"$1,748.37","$1,763.63","$1,022.17",$965.55,"$1,031.27",$865.89,"$1,364.28","$1,598.53","$1,773.25","$1,142.69","$1,141.75","$1,099.27","$1,133.12","$1,866.68","$1,620.07","$1,546.42","$38,814.62"

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$36,237.42"
Cash,"$2,577.20"
Amount Collected,"$38,814.62"
