Sales Report
"May 1, 2024 12:00 AM - May 31, 2024 11:59 PM"
"Requested on: Nov 21, 2024 6:03 PM"
Filters: none

Gross Sales,"$26,688.30"
Net Sales,"$26,647.57"
Amount Collected,"$34,175.21"
Orders,3159

"May 1, 2024 - May 31, 2024","Wed, May 1","Thu, May 2","Fri, May 3","Sat, May 4","Sun, May 5","Mon, May 6","Tue, May 7","Wed, May 8","Thu, May 9","Fri, May 10","Sat, May 11","Sun, May 12","Mon, May 13","Tue, May 14","Wed, May 15","Thu, May 16","Fri, May 17","Sat, May 18","Sun, May 19","Mon, May 20","Tue, May 21","Wed, May 22","Thu, May 23","Fri, May 24","Sat, May 25","Sun, May 26","Mon, May 27","Tue, May 28","Wed, May 29","Thu, May 30","Fri, May 31",Total
Gross Sales,$805.15,$800.25,$734.90,"$1,415.75",$0.00,$948.50,$638.40,$797.85,$842.70,"$1,111.85","$1,238.65","$1,283.20",$857.20,$918.50,$730.95,$765.75,$952.05,$973.10,$982.50,$866.35,$481.20,$694.40,$712.10,$698.25,"$1,122.75","$1,144.60",$860.85,$897.25,$793.40,$811.00,$808.90,"$26,688.30"
Discounts,-$0.81,$0.00,-$0.86,$0.00,$0.00,$0.00,-$1.36,$0.00,-$0.90,-$0.82,-$0.45,-$3.71,$0.00,-$1.52,-$0.43,-$3.91,$0.00,$0.00,-$1.28,-$1.42,-$0.87,-$1.51,-$0.55,$0.00,$0.00,-$12.81,-$1.99,-$0.88,-$2.24,-$2.06,-$0.35,-$40.73
Refunds,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Net Sales,$804.34,$800.25,$734.04,"$1,415.75",$0.00,$948.50,$637.04,$797.85,$841.80,"$1,111.03","$1,238.20","$1,279.49",$857.20,$916.98,$730.52,$761.84,$952.05,$973.10,$981.22,$864.93,$480.33,$692.89,$711.55,$698.25,"$1,122.75","$1,131.79",$858.86,$896.37,$791.16,$808.94,$808.55,"$26,647.57"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Taxes & Fees,$108.04,$115.88,$110.10,$200.04,$0.00,$129.89,$95.50,$119.64,$122.04,$154.19,$177.91,$180.09,$124.69,$128.58,$101.26,$106.17,$130.66,$141.07,$147.17,$121.67,$72.04,$103.95,$90.73,$104.76,$156.41,$169.74,$124.66,$122.76,$106.71,$113.12,$121.18,"$3,800.65"
Tips,$106.75,$106.07,$99.30,$197.49,$0.00,$132.72,$97.03,$124.74,$129.83,$156.55,$166.76,$168.61,$106.52,$133.60,$95.45,$105.24,$111.27,$137.78,$148.50,$124.36,$76.38,$110.16,$89.04,$89.18,$151.27,$163.74,$118.31,$134.23,$107.42,$115.00,$123.69,"$3,726.99"
Amount Collected,"$1,019.13","$1,022.20",$943.44,"$1,813.28",$0.00,"$1,211.11",$829.57,"$1,042.23","$1,093.67","$1,421.77","$1,582.87","$1,628.19","$1,088.41","$1,179.16",$927.23,$973.25,"$1,193.98","$1,251.95","$1,276.89","$1,110.96",$628.75,$907.00,$891.32,$892.19,"$1,430.43","$1,465.27","$1,101.83","$1,153.36","$1,005.29","$1,037.06","$1,053.42","$34,175.21"

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$32,295.82"
Cash,"$1,879.39"
Amount Collected,"$34,175.21"
