Sales Report
"Nov 1, 2023 12:00 AM - Nov 30, 2023 11:59 PM"
"Requested on: Nov 21, 2024 6:00 PM"
Filters: none

Gross Sales,"$27,772.45"
Net Sales,"$27,692.12"
Amount Collected,"$35,334.06"
Partial Orders,1
Orders,3286

"Nov 1, 2023 - Nov 30, 2023","Wed, Nov 1","Thu, Nov 2","Fri, Nov 3","Sat, Nov 4","Sun, Nov 5","Mon, Nov 6","Tue, Nov 7","Wed, Nov 8","Thu, Nov 9","Fri, Nov 10","Sat, Nov 11","Sun, Nov 12","Mon, Nov 13","Tue, Nov 14","Wed, Nov 15","Thu, Nov 16","Fri, Nov 17","Sat, Nov 18","Sun, Nov 19","Mon, Nov 20","Tue, Nov 21","Wed, Nov 22","Thu, Nov 23","Fri, Nov 24","Sat, Nov 25","Sun, Nov 26","Mon, Nov 27","Tue, Nov 28","Wed, Nov 29","Thu, Nov 30",Total
Gross Sales,$784.60,$849.45,$734.95,"$1,401.45","$1,251.95",$714.35,$607.40,$801.25,$769.45,$972.40,"$1,460.65","$1,145.00",$797.55,$812.80,$712.00,$795.35,$917.85,"$1,335.90","$1,317.70",$668.75,$886.35,$764.80,$686.75,"$1,124.45","$1,421.15","$1,254.30",$807.00,$544.45,$862.70,$569.70,"$27,772.45"
Discounts,-$8.80,-$0.33,$0.00,$0.00,-$1.87,-$9.46,$0.00,$0.00,-$2.95,$0.00,$0.00,$0.00,-$3.57,$0.00,$0.00,-$0.94,-$1.05,-$6.15,-$2.06,-$9.61,$0.00,-$1.39,-$0.48,-$1.06,-$2.28,-$0.65,-$8.71,-$0.76,$0.00,-$0.43,-$62.55
Refunds,$0.00,$0.00,-$8.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$9.78,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$17.78
Net Sales,$775.80,$849.12,$726.95,"$1,401.45","$1,250.08",$704.89,$607.40,$801.25,$766.50,$972.40,"$1,460.65","$1,145.00",$793.98,$812.80,$712.00,$794.41,$916.80,"$1,319.97","$1,315.64",$659.14,$886.35,$763.41,$686.27,"$1,123.39","$1,418.87","$1,253.65",$798.29,$543.69,$862.70,$569.27,"$27,692.12"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Taxes & Fees,$112.07,$119.77,$102.61,$203.26,$183.23,$99.75,$87.30,$111.57,$110.68,$134.06,$206.24,$165.89,$113.31,$116.15,$102.45,$107.02,$133.35,$195.25,$188.38,$92.54,$114.09,$110.36,$98.78,$160.13,$192.00,$179.65,$110.13,$81.53,$116.79,$79.97,"$3,928.31"
Tips,$119.56,$98.80,$96.23,$187.87,$143.14,$92.82,$79.34,$112.60,$113.65,$139.13,$218.20,$150.08,$109.90,$119.28,$103.10,$103.73,$123.18,$176.38,$187.00,$77.48,$101.69,$108.22,$88.12,$150.66,$189.40,$163.73,$102.30,$73.62,$116.23,$70.34,"$3,715.78"
Amount Collected,"$1,007.43","$1,067.69",$925.79,"$1,792.58","$1,576.45",$897.46,$774.04,"$1,025.42",$990.83,"$1,245.59","$1,885.09","$1,460.97","$1,017.19","$1,048.23",$917.55,"$1,005.16","$1,173.33","$1,691.60","$1,691.02",$829.16,"$1,102.13",$981.99,$873.17,"$1,434.18","$1,800.27","$1,597.03","$1,010.72",$698.84,"$1,095.72",$717.43,"$35,334.06"
Unpaid Balance,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2.15,$2.15

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$32,526.44"
Cash,"$2,807.62"
Amount Collected,"$35,334.06"
