Sales Report
"Nov 1, 2024 12:00 AM - Nov 30, 2024 11:59 PM"
"Requested on: Dec 10, 2024 11:48 AM"
Filters: none

Gross Sales,"$37,188.21"
Net Sales,"$36,964.25"
Amount Collected,"$47,370.38"
Orders,4636

"Nov 1, 2024 - Nov 30, 2024","Fri, Nov 1","Sat, Nov 2","Sun, Nov 3","Mon, Nov 4","Tue, Nov 5","Wed, Nov 6","Thu, Nov 7","Fri, Nov 8","Sat, Nov 9","Sun, Nov 10","Mon, Nov 11","Tue, Nov 12","Wed, Nov 13","Thu, Nov 14","Fri, Nov 15","Sat, Nov 16","Sun, Nov 17","Mon, Nov 18","Tue, Nov 19","Wed, Nov 20","Thu, Nov 21","Fri, Nov 22","Sat, Nov 23","Sun, Nov 24","Mon, Nov 25","Tue, Nov 26","Wed, Nov 27","Thu, Nov 28","Fri, Nov 29","Sat, Nov 30",Total
Gross Sales,"$1,144.30","$2,006.90","$1,748.45","$1,068.60",$869.90,"$1,139.05",$828.90,"$1,210.05","$1,834.35","$1,759.45","$1,082.30",$902.05,"$1,144.86",$992.25,"$1,117.00","$2,044.80","$1,676.75",$978.10,$841.15,$994.65,$901.15,"$1,084.70","$1,858.95","$1,549.20","$1,124.30",$814.15,$720.40,$974.10,"$1,139.05","$1,638.35","$37,188.21"
Discounts,-$0.80,-$5.70,-$11.40,-$9.50,-$2.15,-$5.31,-$3.22,-$5.28,-$4.28,-$13.45,-$5.19,-$7.53,-$1.85,-$6.24,-$6.13,-$6.53,-$11.47,-$1.58,-$7.66,-$5.31,-$3.40,-$7.04,-$3.67,-$23.89,-$8.07,-$5.89,-$4.79,-$7.56,-$8.56,-$13.98,-$207.43
Refunds,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$13.23,-$3.30,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$16.53
Net Sales,"$1,143.50","$2,001.20","$1,737.05","$1,059.10",$867.75,"$1,133.74",$825.68,"$1,204.77","$1,830.07","$1,746.00","$1,077.11",$894.52,"$1,143.01",$986.01,"$1,110.87","$2,025.04","$1,661.98",$976.52,$833.49,$989.34,$897.75,"$1,077.66","$1,855.28","$1,525.31","$1,116.23",$808.26,$715.61,$966.54,"$1,130.49","$1,624.37","$36,964.25"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Taxes & Fees,$171.55,$284.16,$249.06,$154.55,$126.80,$157.28,$123.89,$168.88,$262.97,$245.98,$161.66,$129.95,$164.33,$135.50,$155.02,$280.85,$232.84,$142.27,$125.02,$144.43,$134.74,$161.63,$262.70,$216.68,$159.28,$121.17,$99.27,$137.73,$154.76,$239.69,"$5,304.64"
Tips,$151.40,$254.40,$232.55,$142.65,$114.04,$147.78,$121.90,$177.14,$231.47,$225.71,$150.45,$137.07,$159.98,$149.45,$154.15,$285.60,$235.96,$149.67,$126.31,$151.29,$124.75,$143.16,$243.76,$180.58,$176.61,$117.28,$95.91,$130.85,$164.67,$224.95,"$5,101.49"
Amount Collected,"$1,466.45","$2,539.76","$2,218.66","$1,356.30","$1,108.59","$1,438.80","$1,071.47","$1,550.79","$2,324.51","$2,217.69","$1,389.22","$1,161.54","$1,467.32","$1,270.96","$1,420.04","$2,591.49","$2,130.78","$1,268.46","$1,084.82","$1,285.06","$1,157.24","$1,382.45","$2,361.74","$1,922.57","$1,452.12","$1,046.71",$910.79,"$1,235.12","$1,449.92","$2,089.01","$47,370.38"

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$44,665.08"
Cash,"$2,705.30"
Amount Collected,"$47,370.38"
