Sales Report
"Oct 1, 2023 12:00 AM - Oct 31, 2023 11:59 PM"
"Requested on: Nov 21, 2024 5:58 PM"
Filters: none

Gross Sales,"$22,626.53"
Net Sales,"$22,533.66"
Amount Collected,"$28,903.14"
Orders,2914

"Oct 1, 2023 - Oct 31, 2023","Sun, Oct 1","Mon, Oct 2","Tue, Oct 3","Wed, Oct 4","Thu, Oct 5","Fri, Oct 6","Sat, Oct 7","Sun, Oct 8","Mon, Oct 9","Tue, Oct 10","Wed, Oct 11","Thu, Oct 12","Fri, Oct 13","Sat, Oct 14","Sun, Oct 15","Mon, Oct 16","Tue, Oct 17","Wed, Oct 18","Thu, Oct 19","Fri, Oct 20","Sat, Oct 21","Sun, Oct 22","Mon, Oct 23","Tue, Oct 24","Wed, Oct 25","Thu, Oct 26","Fri, Oct 27","Sat, Oct 28","Sun, Oct 29","Mon, Oct 30","Tue, Oct 31",Total
Gross Sales,$863.50,$591.00,$506.45,$404.65,$414.70,$776.60,$786.18,"$1,158.85","$1,048.65",$589.75,$577.30,$520.10,$740.45,$892.20,$991.50,$555.45,$549.30,$659.15,$547.25,$626.55,"$1,183.65",$970.20,$740.45,$625.35,$578.60,$516.75,$741.60,"$1,032.80","$1,122.75",$560.55,$754.25,"$22,626.53"
Discounts,-$10.52,-$1.73,-$2.00,-$1.80,-$1.08,-$8.75,-$2.53,-$4.22,-$9.17,$0.00,$0.00,-$2.13,-$6.75,$0.00,-$6.12,-$1.47,$0.00,-$0.83,$0.00,-$0.94,-$3.49,$0.00,-$14.66,-$3.40,$0.00,$0.00,-$3.30,$0.00,-$2.42,-$0.83,-$0.93,-$89.07
Refunds,$0.00,-$3.80,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$3.80
Net Sales,$852.98,$585.47,$504.45,$402.85,$413.62,$767.85,$783.65,"$1,154.63","$1,039.48",$589.75,$577.30,$517.97,$733.70,$892.20,$985.38,$553.98,$549.30,$658.32,$547.25,$625.61,"$1,180.16",$970.20,$725.79,$621.95,$578.60,$516.75,$738.30,"$1,032.80","$1,120.33",$559.72,$753.32,"$22,533.66"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Taxes & Fees,$127.77,$87.65,$75.56,$60.30,$61.91,$115.04,$114.13,$173.05,$155.67,$88.36,$86.50,$77.57,$97.99,$133.67,$138.12,$82.98,$82.28,$94.47,$77.79,$78.43,$169.83,$145.34,$97.08,$93.21,$83.00,$73.73,$106.92,$151.00,$160.78,$83.93,$112.88,"$3,286.94"
Tips,$113.01,$77.44,$65.93,$54.04,$55.13,$98.91,$107.49,$151.01,$142.68,$93.46,$87.46,$76.94,$103.66,$125.09,$122.06,$70.40,$74.57,$81.34,$76.41,$86.81,$161.95,$127.69,$97.93,$90.74,$77.18,$78.57,$107.29,$155.61,$135.77,$81.72,$104.25,"$3,082.54"
Amount Collected,"$1,093.76",$750.56,$645.94,$517.19,$530.66,$981.80,"$1,005.27","$1,478.69","$1,337.83",$771.57,$751.26,$672.48,$935.35,"$1,150.96","$1,245.56",$707.36,$706.15,$834.13,$701.45,$790.85,"$1,511.94","$1,243.23",$920.80,$805.90,$738.78,$669.05,$952.51,"$1,339.41","$1,416.88",$725.37,$970.45,"$28,903.14"

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$26,599.50"
Cash,"$2,303.64"
Amount Collected,"$28,903.14"
