Sales Report
"Oct 1, 2024 12:00 AM - Oct 31, 2024 11:59 PM"
"Requested on: Nov 21, 2024 6:07 PM"
Filters: none

Gross Sales,"$39,841.30"
Net Sales,"$39,726.23"
Amount Collected,"$50,909.77"
Orders,4857

"Oct 1, 2024 - Oct 31, 2024","Tue, Oct 1","Wed, Oct 2","Thu, Oct 3","Fri, Oct 4","Sat, Oct 5","Sun, Oct 6","Mon, Oct 7","Tue, Oct 8","Wed, Oct 9","Thu, Oct 10","Fri, Oct 11","Sat, Oct 12","Sun, Oct 13","Mon, Oct 14","Tue, Oct 15","Wed, Oct 16","Thu, Oct 17","Fri, Oct 18","Sat, Oct 19","Sun, Oct 20","Mon, Oct 21","Tue, Oct 22","Wed, Oct 23","Thu, Oct 24","Fri, Oct 25","Sat, Oct 26","Sun, Oct 27","Mon, Oct 28","Tue, Oct 29","Wed, Oct 30","Thu, Oct 31",Total
Gross Sales,"$1,020.55",$756.15,"$1,129.50","$1,442.60","$1,725.10","$1,788.05","$1,158.80","$1,042.50",$995.20,$854.95,"$1,208.30","$2,033.10","$1,733.75","$1,468.10","$1,051.25","$1,106.75","$1,398.65","$1,260.00","$2,154.55","$1,948.10",$978.40,$0.00,"$1,052.35","$1,098.40","$1,378.20","$1,825.25","$1,698.70","$1,156.35",$951.05,"$1,074.75","$1,351.90","$39,841.30"
Discounts,-$3.04,-$1.23,-$1.87,-$4.80,-$4.28,-$4.10,-$7.42,-$3.93,-$2.62,-$1.74,-$2.83,-$5.64,-$3.37,-$2.16,-$7.46,-$2.59,-$4.61,-$5.33,-$2.14,-$8.34,-$1.97,$0.00,-$2.53,-$2.45,-$2.23,-$1.70,-$11.15,-$1.24,-$2.29,-$1.99,-$3.22,-$110.27
Refunds,-$4.80,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$4.80
Net Sales,"$1,012.71",$754.92,"$1,127.63","$1,437.80","$1,720.82","$1,783.95","$1,151.38","$1,038.57",$992.58,$853.21,"$1,205.47","$2,027.46","$1,730.38","$1,465.94","$1,043.79","$1,104.16","$1,394.04","$1,254.67","$2,152.41","$1,939.76",$976.43,$0.00,"$1,049.82","$1,095.95","$1,375.97","$1,823.55","$1,687.55","$1,155.11",$948.76,"$1,072.76","$1,348.68","$39,726.23"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Taxes & Fees,$151.87,$113.24,$159.35,$203.76,$245.71,$257.97,$172.65,$151.91,$148.78,$124.22,$172.95,$294.93,$250.49,$210.02,$156.57,$156.79,$191.84,$183.90,$313.72,$286.65,$146.54,$0.00,$149.31,$160.15,$189.90,$252.91,$241.69,$165.13,$134.59,$157.02,$186.53,"$5,731.09"
Tips,$142.53,$102.19,$144.94,$186.69,$224.20,$237.35,$175.25,$146.03,$133.50,$129.82,$167.89,$287.09,$235.47,$203.33,$139.81,$148.61,$188.70,$188.04,$317.29,$264.96,$137.10,$0.00,$141.74,$166.69,$198.39,$255.12,$226.15,$142.18,$114.89,$129.24,$177.26,"$5,452.45"
Amount Collected,"$1,307.11",$970.35,"$1,431.92","$1,828.25","$2,190.73","$2,279.27","$1,499.28","$1,336.51","$1,274.86","$1,107.25","$1,546.31","$2,609.48","$2,216.34","$1,879.29","$1,340.17","$1,409.56","$1,774.58","$1,626.61","$2,783.42","$2,491.37","$1,260.07",$0.00,"$1,340.87","$1,422.79","$1,764.26","$2,331.58","$2,155.39","$1,462.42","$1,198.24","$1,359.02","$1,712.47","$50,909.77"

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$48,088.63"
Cash,"$2,821.14"
Amount Collected,"$50,909.77"
