Sales Report
"Sep 1, 2024 12:00 AM - Sep 30, 2024 11:59 PM"
"Requested on: Nov 21, 2024 6:06 PM"
Filters: none

Gross Sales,"$44,223.01"
Net Sales,"$44,085.74"
Amount Collected,"$56,339.59"
Orders,5190

"Sep 1, 2024 - Sep 30, 2024","Sun, Sep 1","Mon, Sep 2","Tue, Sep 3","Wed, Sep 4","Thu, Sep 5","Fri, Sep 6","Sat, Sep 7","Sun, Sep 8","Mon, Sep 9","Tue, Sep 10","Wed, Sep 11","Thu, Sep 12","Fri, Sep 13","Sat, Sep 14","Sun, Sep 15","Mon, Sep 16","Tue, Sep 17","Wed, Sep 18","Thu, Sep 19","Fri, Sep 20","Sat, Sep 21","Sun, Sep 22","Mon, Sep 23","Tue, Sep 24","Wed, Sep 25","Thu, Sep 26","Fri, Sep 27","Sat, Sep 28","Sun, Sep 29","Mon, Sep 30",Total
Gross Sales,"$2,198.61","$2,535.00","$1,115.25","$1,141.25","$1,192.45","$1,222.15","$1,754.00","$1,553.15","$1,250.50","$1,065.25","$1,019.45","$1,264.75","$1,333.75","$1,972.85","$2,134.60","$1,125.25","$1,030.60","$1,113.00","$1,415.60","$1,173.25","$1,905.30","$2,131.95",$983.60,"$1,394.75","$1,151.55","$1,203.65","$1,329.10","$2,052.50","$2,236.45","$1,223.45","$44,223.01"
Discounts,-$3.53,-$9.56,-$3.56,-$1.34,-$0.84,-$3.78,-$1.37,-$2.25,-$2.86,-$3.47,-$4.14,$0.00,-$0.72,$0.00,-$11.80,-$3.21,-$1.00,-$4.07,-$1.32,-$4.35,-$1.57,-$0.91,-$1.25,-$3.90,-$1.92,-$7.15,-$3.68,-$3.80,-$6.66,-$2.26,-$96.27
Refunds,-$41.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$41.00
Net Sales,"$2,154.08","$2,525.44","$1,111.69","$1,139.91","$1,191.61","$1,218.37","$1,752.63","$1,550.90","$1,247.64","$1,061.78","$1,015.31","$1,264.75","$1,333.03","$1,972.85","$2,122.80","$1,122.04","$1,029.60","$1,108.93","$1,414.28","$1,168.90","$1,903.73","$2,131.04",$982.35,"$1,390.85","$1,149.63","$1,196.50","$1,325.42","$2,048.70","$2,229.79","$1,221.19","$44,085.74"
Non-revenue Items,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Activations,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Taxes & Fees,$323.00,$374.86,$166.75,$166.06,$163.07,$177.98,$250.88,$223.48,$166.97,$154.93,$139.26,$173.50,$167.22,$272.00,$313.48,$168.24,$135.75,$162.14,$212.18,$175.37,$263.73,$310.91,$147.40,$184.92,$168.35,$173.31,$191.23,$275.18,$295.82,$175.69,"$6,273.66"
Tips,$277.51,$351.93,$160.72,$158.60,$144.72,$161.28,$236.58,$219.10,$166.41,$153.04,$130.68,$192.06,$166.46,$244.55,$283.92,$156.58,$148.68,$160.55,$196.26,$158.81,$255.11,$291.99,$152.12,$174.97,$172.26,$166.34,$192.71,$268.98,$271.97,$165.30,"$5,980.19"
Amount Collected,"$2,754.59","$3,252.23","$1,439.16","$1,464.57","$1,499.40","$1,557.63","$2,240.09","$1,993.48","$1,581.02","$1,369.75","$1,285.25","$1,630.31","$1,666.71","$2,489.40","$2,720.20","$1,446.86","$1,314.03","$1,431.62","$1,822.72","$1,503.08","$2,422.57","$2,733.94","$1,281.87","$1,750.74","$1,490.24","$1,536.15","$1,709.36","$2,592.86","$2,797.58","$1,562.18","$56,339.59"

Sales by Tender and Card Type
Credit Cards + Debit Cards,"$53,064.17"
Cash,"$3,275.42"
Amount Collected,"$56,339.59"
